Season,roundNumber,matchId,playerId,name,TOG,AF,CBA,KI,teamName,CBA_PERC,KI_PERC,SC,TeamCBA,TeamKI
2025,0,CD_M20250140004,CD_I1027921,Max Gruzewski,68,57,5,0,GWS GIANTS,20,0,0,25,16
2025,0,CD_M20250140004,CD_I993107,Harry Himmelberg,93,81,0,4,GWS GIANTS,0,25,0,25,16
2025,0,CD_M20250140004,CD_I1008083,Connor Idun,89,74,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I1020650,Darcy Jones,79,62,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I290314,Lachlan Keeffe,74,52,17,0,GWS GIANTS,68,0,0,25,16
2025,0,CD_M20250140004,CD_I296347,Josh Kelly,82,118,18,0,GWS GIANTS,72,0,0,25,16
2025,0,CD_M20250140004,CD_I1032119,James Leake,54,42,7,0,GWS GIANTS,28,0,0,25,16
2025,0,CD_M20250140004,CD_I1006135,Xavier O'Halloran,86,67,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I1015862,Conor Stone,77,50,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I1005247,Sam Taylor,100,118,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I280109,Callan Ward,91,88,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I1004530,Jacob Wehr,61,46,0,0,GWS GIANTS,0,0,0,25,16
2025,0,CD_M20250140004,CD_I294305,Lachie Whitfield,75,99,0,5,GWS GIANTS,0,31,0,25,16
2025,0,CD_M20250140004,CD_I1022915,Edward Allan,82,49,6,0,Collingwood,24,0,0,25,13
2025,0,CD_M20250140004,CD_I990291,Darcy Cameron,79,136,17,0,Collingwood,68,0,112,25,13
2025,0,CD_M20250140004,CD_I293871,Jack Crisp,85,77,3,0,Collingwood,12,0,78,25,13
2025,0,CD_M20250140004,CD_I1005054,Josh Daicos,87,88,0,3,Collingwood,0,23,84,25,13
2025,0,CD_M20250140004,CD_I1023261,Nick Daicos,76,60,18,0,Collingwood,72,0,125,25,13
2025,0,CD_M20250140004,CD_I293801,Jamie Elliott,87,62,2,0,Collingwood,8,0,85,25,13
2025,0,CD_M20250140004,CD_I1006148,Bobby Hill,76,58,0,0,Collingwood,0,0,69,25,13
2025,0,CD_M20250140004,CD_I291720,Will Hoskin-Elliott,57,45,0,0,Collingwood,0,0,0,25,13
2025,0,CD_M20250140004,CD_I291313,Jeremy Howe,76,56,0,3,Collingwood,0,23,112,25,13
2025,0,CD_M20250140004,CD_I1003130,Patrick Lipinski,85,53,0,0,Collingwood,0,0,75,25,13
2025,0,CD_M20250140004,CD_I1017124,Ned Long,26,30,5,0,Collingwood,20,0,57,25,13
2025,0,CD_M20250140004,CD_I992010,Brayden Maynard,83,51,0,3,Collingwood,0,23,69,25,13
2025,0,CD_M20250140004,CD_I1004757,Beau McCreery,77,52,4,0,Collingwood,16,0,65,25,13
2025,0,CD_M20250140004,CD_I1013278,Reef McInnes,82,49,0,1,Collingwood,0,8,0,25,13
2025,0,CD_M20250140004,CD_I297504,Daniel McStay,83,42,8,0,Collingwood,32,0,50,25,13
2025,0,CD_M20250140004,CD_I294596,Tim Membrey,78,32,0,0,Collingwood,0,0,42,25,13
2025,0,CD_M20250140004,CD_I291849,Brody Mihocek,76,44,0,0,Collingwood,0,0,0,25,13
2025,0,CD_M20250140004,CD_I298288,Darcy Moore,95,58,0,3,Collingwood,0,23,90,25,13
2025,0,CD_M20250140004,CD_I260257,Scott Pendlebury,82,56,20,0,Collingwood,80,0,86,25,13
2025,0,CD_M20250140004,CD_I998205,Harry Perryman,83,90,13,0,Collingwood,52,0,57,25,13
2025,0,CD_M20250140004,CD_I1008089,Isaac Quaynor,84,63,0,0,Collingwood,0,0,59,25,13
2025,0,CD_M20250140004,CD_I1000860,Lachie Schultz,80,57,0,0,Collingwood,0,0,107,25,13
2025,0,CD_M20250140004,CD_I280965,Steele Sidebottom,80,62,4,0,Collingwood,16,0,107,25,13
