player_id,season_cba,season_ki,season_tog
CD_I1000072,0,0.285714285714286,85
CD_I1000223,0.477272727272727,0.0952380952380952,82
CD_I1000860,0,0,82.5
CD_I1000864,0,0.421052631578947,86
CD_I1000937,0,0,93.3333333333333
CD_I1000953,0.0410958904109589,0,96
CD_I1000958,0.306122448979592,0,78
CD_I1000963,0,0,80
CD_I1000972,0.686046511627907,0,75
CD_I1000978,0.725,0,78.6666666666667
CD_I1000980,0.911392405063291,0,82
CD_I1000981,0,0.0476190476190476,80
CD_I1001017,0,0,90.3333333333333
CD_I1001026,0,0.193548387096774,67
CD_I1001028,0,0.0434782608695652,85.6666666666667
CD_I1001195,0.450450450450451,0,71.6666666666667
CD_I1001299,0.697674418604651,0,83.6666666666667
CD_I1001396,0.00900900900900901,0,75.3333333333333
CD_I1001398,0.590361445783133,0,80
CD_I1001438,0,0,83.3333333333333
CD_I1002138,0,0,92.5
CD_I1002143,0,0,98.6666666666667
CD_I1002220,0,0,90
CD_I1002227,0,0,84
CD_I1002228,0.0273972602739726,0,71
CD_I1002232,0.738095238095238,0,83
CD_I1002235,0.1375,0,80.3333333333333
CD_I1002239,0.561643835616438,0,77
CD_I1002251,0.102040816326531,0,59
CD_I1002253,0,0.357142857142857,80
CD_I1002264,0.193877551020408,0,30
CD_I1002267,0.752577319587629,0,86
CD_I1002282,0,0,74
CD_I1002312,0.0125,0,83.6666666666667
CD_I1002347,0,0,95.3333333333333
CD_I1002401,0,0,66
CD_I1002403,0,0.227272727272727,95.6666666666667
CD_I1002404,0.0240963855421687,0,83.6666666666667
CD_I1002795,0,0.130434782608696,55
CD_I1002947,0,0,83.6666666666667
CD_I1003130,0,0,87.5
CD_I1003203,0,0,78
CD_I1004095,0,0,44
CD_I1004364,0.0227272727272727,0,85
CD_I1004385,0,0,91.3333333333333
CD_I1004530,0,0,51.5
CD_I1004592,0.746987951807229,0,79.6666666666667
CD_I1004757,0.0909090909090909,0,74
CD_I1004848,0,0,27
CD_I1004863,0,0.111111111111111,78.3333333333333
CD_I1004870,0,0.538461538461538,81.3333333333333
CD_I1004912,0.876712328767123,0,79.3333333333333
CD_I1004938,0,0,88
CD_I1004965,0.835051546391753,0,81.3333333333333
CD_I1004985,0,0,53
CD_I1005000,0,0,78
CD_I1005053,0,0,81.3333333333333
CD_I1005054,0,0.157894736842105,86.5
CD_I1005144,0,0,76
CD_I1005247,0,0,98.5
CD_I1005326,0.174418604651163,0,80
CD_I1005330,0.0813953488372093,0,82.3333333333333
CD_I1005521,0.6,0,80
CD_I1005577,0.34020618556701,0,91
CD_I1005992,0,0.285714285714286,79.5
CD_I1006013,0.369369369369369,0,79.6666666666667
CD_I1006028,0,0.4,88
CD_I1006058,0,0,82.3333333333333
CD_I1006094,0.589041095890411,0,80
CD_I1006096,0.0103092783505155,0,80.3333333333333
CD_I1006103,0.680412371134021,0,74.3333333333333
CD_I1006114,0.420454545454546,0,62.5
CD_I1006126,0.56,0,68.5
CD_I1006127,0.120481927710843,0,78
CD_I1006130,0.191011235955056,0,81
CD_I1006133,0.269662921348315,0,80.6666666666667
CD_I1006135,0,0,74
CD_I1006136,0,0,86
CD_I1006144,0,0,87
CD_I1006148,0,0,73.5
CD_I1006152,0,0.241379310344828,90
CD_I1006232,0,0,80.5
CD_I1006314,0.0759493670886076,0,87
CD_I1006550,0,0,28
CD_I1007099,0,0,72.6666666666667
CD_I1007102,0,0,76.6666666666667
CD_I1007124,0.721518987341772,0,78.6666666666667
CD_I1007881,0,0.142857142857143,87.5
CD_I1008083,0,0,82.5
CD_I1008089,0,0.0526315789473684,85
CD_I1008091,0.08,0,75.5
CD_I1008139,0.693877551020408,0,84
CD_I1008154,0,0,91
CD_I1008183,0,0,78
CD_I1008198,0,0,89.5
CD_I1008224,0,0.2,55.5
CD_I1008230,0,0,91.5
CD_I1008239,0,0,78.3333333333333
CD_I1008280,0.795180722891566,0,82
CD_I1008312,0,0,40
CD_I1008384,0.108108108108108,0,80
CD_I1008436,0.428571428571429,0,74
CD_I1008454,0,0,80.5
CD_I1008478,0.0224719101123596,0,73
CD_I1008550,0.746835443037975,0,78.6666666666667
CD_I1008855,0,0,41.5
CD_I1008882,0,0,45
CD_I1008893,0,0,94
CD_I1009015,0,0,82.3333333333333
CD_I1009029,0,0,90
CD_I1009191,0.0581395348837209,0.0476190476190476,88
CD_I1009199,0.783333333333333,0,83.5
CD_I1009208,0.766666666666667,0,81
CD_I1009226,0.393258426966292,0,76.3333333333333
CD_I1009229,0.752808988764045,0,72
CD_I1009241,0,0,87.3333333333333
CD_I1009253,0,0.25,83
CD_I1009260,0.2,0,67
CD_I1009317,0,0,40
CD_I1009378,0.104651162790698,0.0882352941176471,78.6666666666667
CD_I1009380,0,0,83
CD_I1009386,0,0.0967741935483871,85.6666666666667
CD_I1009399,0.785714285714286,0,83.3333333333333
CD_I1009410,0,0,55.5
CD_I1009420,0.75,0,81
CD_I1009421,0,0,81.6666666666667
CD_I1009528,0.755102040816326,0,80.5
CD_I1009708,0,0,92
CD_I1010174,0,0,86.3333333333333
CD_I1011437,0,0,77.6666666666667
CD_I1011558,0,0,69
CD_I1011583,0,0,62
CD_I1011640,0.616279069767442,0,78.6666666666667
CD_I1011659,0.515463917525773,0,76.3333333333333
CD_I1011755,0,0,79.6666666666667
CD_I1011936,0.12,0,78
CD_I1011954,0.65979381443299,0,70.6666666666667
CD_I1011981,0,0.222222222222222,86.3333333333333
CD_I1011994,0,0,84
CD_I1012013,0,0,94.6666666666667
CD_I1012014,0.6,0,85.5
CD_I1012210,0,0.32,91.5
CD_I1012817,0,0.032258064516129,91
CD_I1012819,0.0119047619047619,0,88.3333333333333
CD_I1012825,0,0.294117647058824,78.3333333333333
CD_I1012829,0.391752577319588,0,58
CD_I1012857,0,0,79
CD_I1012860,0,0,84
CD_I1013133,0,0,79
CD_I1013197,0,0,54
CD_I1013201,0,0,40
CD_I1013220,0.297619047619048,0,76.6666666666667
CD_I1013224,0,0.0689655172413793,67.6666666666667
CD_I1013229,0.112359550561798,0,75.3333333333333
CD_I1013257,0,0,92
CD_I1013278,0,0,43
CD_I1013409,0.82,0,81.5
CD_I1013462,0,0.0714285714285714,93.3333333333333
CD_I1013464,0,0.307692307692308,84.3333333333333
CD_I1013511,0.0909090909090909,0,79
CD_I1013973,0,0,81.3333333333333
CD_I1013974,0,0.444444444444444,95
CD_I1014026,0,0,31
CD_I1014038,0.0612244897959184,0,82
CD_I1015323,0.112244897959184,0,84
CD_I1015370,0,0,90.3333333333333
CD_I1015507,0.0102040816326531,0.451612903225806,85
CD_I1015781,0,0.0571428571428571,88.6666666666667
CD_I1015810,0.649484536082474,0,83
CD_I1015862,0,0,70
CD_I1015873,0.298969072164948,0,83.5
CD_I1015889,0.629213483146067,0.0384615384615385,76.6666666666667
CD_I1015919,0,0,25
CD_I1015929,0,0.0263157894736842,73
CD_I1016433,0,0,89.6666666666667
CD_I1016825,0.488095238095238,0,78
CD_I1017051,0.018018018018018,0,58
CD_I1017067,0,0.24,81
CD_I1017078,0,0.238095238095238,72.6666666666667
CD_I1017086,0,0.159090909090909,81.3333333333333
CD_I1017087,0,0,78.6666666666667
CD_I1017088,0.0721649484536082,0,70
CD_I1017094,0,0,54
CD_I1017109,0.558558558558559,0,77
CD_I1017110,0.164556962025316,0,75.3333333333333
CD_I1017114,0,0,53.5
CD_I1017122,0,0,65.6666666666667
CD_I1017124,0.654545454545455,0,73.5
CD_I1017126,0.216867469879518,0,84.3333333333333
CD_I1017255,0,0,69.5
CD_I1017396,0,0.142857142857143,84
CD_I1017665,0,0.0952380952380952,88
CD_I1017700,0.123287671232877,0,76
CD_I1017720,0.0813953488372093,0,78.3333333333333
CD_I1017754,0.0595238095238095,0,76.5
CD_I1017939,0.325301204819277,0,75
CD_I1017959,0,0,65
CD_I1018018,0,0,73
CD_I1018123,0.0666666666666667,0,50
CD_I1018323,0,0,64
CD_I1018424,0,0,83.5
CD_I1018425,0,0,56
CD_I1019038,0,0,79.5
CD_I1019938,0,0.166666666666667,79
CD_I1020250,0.178571428571429,0,65.5
CD_I1020339,0.02,0,14
CD_I1020371,0.0113636363636364,0,81
CD_I1020586,0,0,42
CD_I1020594,0,0,89.3333333333333
CD_I1020650,0,0,80
CD_I1020668,0,0,69.3333333333333
CD_I1020670,0.215909090909091,0,58.6666666666667
CD_I1020855,0.0102040816326531,0,81.3333333333333
CD_I1020895,0.784810126582278,0,79.6666666666667
CD_I1020959,0,0,71
CD_I1020968,0,0,74
CD_I1021015,0,0.0344827586206897,77
CD_I1021103,0.460674157303371,0,55
CD_I1021152,0.0561797752808989,0,84
CD_I1021353,0,0,82
CD_I1022371,0,0,22
CD_I1022383,0.0112359550561798,0,70
CD_I1022452,0,0,76.5
CD_I1022607,0.207207207207207,0,40
CD_I1022999,0,0,37
CD_I1023025,0.0454545454545455,0,89.6666666666667
CD_I1023056,0,0,81
CD_I1023142,0,0.0952380952380952,81
CD_I1023144,0,0,65.6666666666667
CD_I1023167,0,0,88.3333333333333
CD_I1023261,0.781818181818182,0,79.5
CD_I1023266,0.714285714285714,0,78.5
CD_I1023270,0.63265306122449,0,81.3333333333333
CD_I1023272,0,0,89
CD_I1023275,0,0,82
CD_I1023346,0.142857142857143,0,75
CD_I1023473,0,0,76.3333333333333
CD_I1023482,0.506329113924051,0,67
CD_I1023486,0,0,48.5
CD_I1023492,0.625,0,80.6666666666667
CD_I1023495,0,0.0434782608695652,88
CD_I1023496,0,0,83.3333333333333
CD_I1023500,0.366666666666667,0,83
CD_I1023515,0,0.0645161290322581,85
CD_I1023517,0.575,0,83.6666666666667
CD_I1023518,0.45360824742268,0.0285714285714286,86
CD_I1023530,0,0,64.6666666666667
