player_id,oppo_avg
CD_I291776,70.6666666666667
CD_I1008091,68
CD_I1006028,74.6666666666667
CD_I1013133,62.6666666666667
CD_I998103,73
CD_I293957,107.333333333333
CD_I1027687,
CD_I997100,67.6666666666667
CD_I298539,94.3333333333333
CD_I1013409,67.6666666666667
CD_I295342,80
CD_I1008198,36.6666666666667
CD_I1011936,58
CD_I996743,41.6666666666667
CD_I996765,75.6666666666667
CD_I1004985,68
CD_I290307,43
CD_I1012210,89
CD_I1006126,72.3333333333333
CD_I1020339,8
CD_I1012014,107.666666666667
CD_I1018424,
CD_I1006232,51
CD_I297354,
CD_I990290,
CD_I998134,
CD_I994077,
CD_I1005144,
CD_I1008550,
CD_I293738,
CD_I1012857,
CD_I993794,
CD_I296254,
CD_I1017094,
CD_I1023482,
CD_I1009421,
CD_I1000980,
CD_I1006314,
CD_I1000963,
CD_I1007124,
CD_I1020895,
CD_I998114,
CD_I297566,
CD_I1023473,
CD_I1027935,
CD_I1002222,
CD_I1009253,60.6666666666667
CD_I1008139,55.5
CD_I1008436,111
CD_I1014038,22
CD_I1009708,72.6666666666667
CD_I1019038,68
CD_I1023266,67
CD_I291969,107
CD_I1002251,66.6666666666667
CD_I295344,82.3333333333333
CD_I1027921,
CD_I993107,62.6666666666667
CD_I1008083,63.6666666666667
CD_I1020650,
CD_I290314,46.6666666666667
CD_I296347,111.666666666667
CD_I1032119,
CD_I1006135,26
CD_I1015862,26
CD_I1005247,70
CD_I280109,83.3333333333333
CD_I1004530,45
CD_I294305,105
CD_I1022915,
CD_I990291,97.6666666666667
CD_I293871,74.3333333333333
CD_I1005054,79
CD_I1023261,103.666666666667
CD_I293801,59.6666666666667
CD_I1006148,49.6666666666667
CD_I291720,55
CD_I291313,89.3333333333333
CD_I1003130,59
CD_I1017124,32
CD_I992010,75
CD_I1004757,44.3333333333333
CD_I1013278,
CD_I297504,65.3333333333333
CD_I294596,68.6666666666667
CD_I291849,52.6666666666667
CD_I298288,47.6666666666667
CD_I260257,91.3333333333333
CD_I998205,56
CD_I1008089,30.3333333333333
CD_I1000860,65.3333333333333
CD_I280965,61
CD_I1028525,
CD_I1013197,
CD_I1021152,
CD_I1013229,
CD_I295203,67.3333333333333
CD_I1017086,48
CD_I1023275,
CD_I1009226,52
CD_I1023056,19
CD_I993903,86.6666666666667
CD_I1028491,
CD_I293813,71
CD_I1008478,50.5
CD_I294592,54.6666666666667
CD_I1002403,44
CD_I298174,100
CD_I1006133,69.6666666666667
CD_I992049,51.3333333333333
CD_I1017114,61.6666666666667
CD_I998172,102.666666666667
CD_I1028521,
CD_I1031829,
CD_I294674,82.6666666666667
CD_I296294,89.3333333333333
CD_I1022452,
CD_I1002239,63
CD_I1008154,42.6666666666667
CD_I1021353,51
CD_I990704,91
CD_I1004912,60.6666666666667
CD_I295518,116
CD_I1017255,48
CD_I1002228,29
CD_I295265,81.3333333333333
CD_I294036,90
CD_I1023495,54.6666666666667
CD_I1009241,74
CD_I1032108,
CD_I297255,60.3333333333333
CD_I1000953,72.6666666666667
CD_I1017700,37.6666666666667
CD_I295461,62.6666666666667
CD_I1001028,55
CD_I1006094,108.666666666667
CD_I993832,63.6666666666667
CD_I294685,61
CD_I1017110,
CD_I1011954,
CD_I1027899,
CD_I1006103,
CD_I1005577,
CD_I1015810,
CD_I1006096,
CD_I298421,
CD_I1017088,
CD_I1011755,
CD_I1028554,
CD_I298630,
CD_I1012013,
CD_I998102,
CD_I1002143,
CD_I992016,
CD_I1015873,
CD_I1009386,
CD_I997078,
CD_I1012817,
CD_I1001026,
CD_I1023515,
CD_I291783,
CD_I1023785,
CD_I994386,98
CD_I296733,74.6666666666667
CD_I998260,60
CD_I293845,40.6666666666667
CD_I1023537,62
CD_I999326,75.6666666666667
CD_I270917,95.3333333333333
CD_I1009229,53.6666666666667
CD_I1025034,60
CD_I1004870,73
CD_I1000937,55.6666666666667
CD_I1012860,41.3333333333333
CD_I1015889,90
CD_I1013464,
CD_I1021103,
CD_I1004938,62.3333333333333
CD_I1024982,
CD_I1016433,
CD_I1007102,55.3333333333333
CD_I1027877,
CD_I1006130,119
CD_I997230,60.6666666666667
CD_I291800,94
CD_I1020594,37.3333333333333
CD_I998180,71.6666666666667
CD_I1002232,85.3333333333333
CD_I1013224,82.6666666666667
