player_id,Player
1023515,Archie Roberts
1006144,Ben King
1017065,Zac Taylor
997846,Conor McKenna
1002235,Cam Rayner
1027875,Darcy Wilson
296355,Luke McDonald
998130,Ben Ainsworth
1009226,Thomson Dow
990290,Tom Barrass
1014026,Kai Lohmann
993832,Jacob Weitering
1010174,Mitch Georgiades
291570,Nat Fyfe
1005053,Noah Answerth
1008139,Toby Bedford
1029159,Kayle Gerreyn 
1008855,Oskar Baker
295203,Nathan Broad
1023743,Nicholas Madden
1032161,Logan Smith
1015370,Max Michalanney
1017051,Josh Rachele
294643,Alex Sexton
1023482,Cam Mackenzie
1009421,Finn Maginness
1017128,Dante Visentini
1023346,Liam Reidy
1023708,Jaspa Fletcher
290826,Jamie Cripps
1008454,Connor Budarick
1020250,Neil Erasmus
990609,Charlie Cameron
1005577,Sam Draper
280506,Taylor Walker
994385,Jayden Hunt
1006143,Max King
294596,Tim Membrey
1028228,Aiden Riddle
1009195,Dylan Williams
293813,Tom Lynch
1006203,Chayce Jones
1023167,Brady Hough
993940,Corey Wagner
998484,Cameron Zurhaar
1009301,Jamarra Ugle-Hagan
291351,Jack Gunston
1023489,Hudson O'Keeffe
1023785,Elijah Tsatas
992059,Sam Switkowski
1013409,James Jordon
1032108,Cooper Lord
1022844,Oscar Steene
1027834,Iliro Smit
293884,Jake Stringer
1011981,Josh Worrell
290085,Taylor Duryea
997100,Will Hayward
1024304,Mitchell Edwards
1027006,Jacob Molier
1027854,Joe Pike
1000887,Mitch Lewis
1004848,Dylan Stephens
993820,Tom Cole
1013974,Mark Keane
1023025,Reuben Ginbey
293801,Jamie Elliott
996059,Harris Andrews
997230,Tyson Stengle
1005992,Joel Jeffrey
1011803,Cody Weightman
1009317,Bruce Reville
1000932,Tom Doedee
1002227,Jack Higgins
293581,Lincoln McCarthy
291978,Harry Cunningham
1013230,Logan McDonald
999331,Darcy Fogarty
1023533,Jaxon Binns
290246,Tom Campbell
1031829,James Trezise
1004095,Jack Lukosius
1005717,Nick Coffield
298280,Jayden Laverde
1017703,Judd McVee
1013133,Braeden Campbell
291533,Tom McDonald
1012860,Oliver Henry
1001017,Nick Larkey
294685,Zac Williams
298289,Peter Wright
280744,Luke Breust
1002401,Brandon Starcevich
1023473,Nick Watson
993953,Eric Hipwood
998647,Mason Cox
298437,Callum Ah Chee
1007102,Mark O'Connor
1000860,Lachie Schultz
1001028,Jack Silvagni
1027821,Caleb Windsor
996692,Marty Hore
1004364,Liam Ryan
1004385,Oscar Allen
291720,Will Hoskin-Elliott
290838,Jack Darling
1005988,Liam Henry
1017124,Ned Long
1008384,Riley Thilthorpe
998390,Changkuoth Jiath
1015827,Nik Cox
1008123,Jake Riccardi
1008089,Isaac Quaynor
1017088,Ben Hobbs
1006148,Bobby Hill
290832,David Swallow
1008154,Matthew Cottrell
294592,Kamdyn McIntosh
1019916,Kane McAuliffe
1012833,Eddie Ford
1004998,Todd Marshall
1023537,Jhye Clark
1013197,Sam Banks
1023272,Mitch Owens
1005330,Kade Chandler
1006533,Riley Garcia
290757,Jimmy Webster
993979,Sam Powell-Pepper
1023680,Henry Hustwaite
1009386,Jaxon Prior
294469,Aliir Aliir
1006127,Rhylee West
1004530,Jacob Wehr
1004985,Ben Paton
1009241,Brodie Kemp
1020594,Jye Amiss
1009410,Brandon Walker
1011985,Hugo Ralphsmith
