Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
James Tunstill,BRL,4.54,0.4,1,0
Bailey Humphrey,GCS,0.94,0.4,0,0
Wil Dawson,NTH,0.76,0.4,0,0
Luke Urquhart,NTH,0.54,0.4,1,0
Finnbar Maley,NTH,3.8,0.4,0,0
Cody Angove ,GWS,7.74,0.4,0,0
Rory Laird,ADE,0.52,0.3,0,0
Jeremy Cameron,GEE,8.04,0.3,1,0
Lachie Whitfield,GWS,20.1,0.3,0,0
Jack Steele,STK,1.73,0.3,0,0
Darcy Cameron,COL,5.96,0.3,1,0
Patrick Cripps,CAR,6.49,0.3,1,0
Shai Bolton,FRE,3.72,0.3,0,0
Tim Taranto,RIC,3.36,0.3,0,0
Riley Thilthorpe,ADE,1.85,0.3,0,0
Josh Worrell,ADE,0.76,0.3,2,0
Luke Cleary,WBD,1.82,0.3,1,10
Sam Darcy,WBD,2.37,0.3,0,0
Rhett Bazzo,WCE,1.57,0.3,0,0
Lucca Grego,WCE,1.06,0.3,0,0
Logan Evans,PTA,1.03,0.3,1,0
Loch Rawlinson,WCE,0.91,0.3,1,0
Harry Barnett,WCE,4.66,0.3,1,0
Will McLachlan,BRL,0.39,0.3,1,10
Dylan Shiel,ESS,1.21,0.2,0,0
Nick Haynes,CAR,1.23,0.2,0,0
Mason Wood,STK,0.74,0.2,0,0
Isaac Heeney,SYD,9.76,0.2,0,0
Wayne Milera,ADE,1.28,0.2,0,0
Ben Keays,ADE,1.16,0.2,0,0
Tom Atkins,GEE,0.29,0.2,0,0
Isaac Cumming,ADE,3.16,0.2,1,10
Patrick Lipinski,COL,9.11,0.2,0,0
Ben Paton,SYD,1.92,0.2,0,0
Joel Jeffrey,GCS,0.27,0.2,0,0
Sam Walsh,CAR,3.39,0.2,0,0
Isaiah Dudley,FRE,1.47,0.2,0,0
James Jordon,SYD,4.73,0.2,0,0
Josh Ward,HAW,0.56,0.2,0,0
Lance Collard,STK,0.65,0.2,1,0
Ashton Moir,CAR,2.5,0.2,0,0
Jai Newcombe,HAW,5.45,0.2,0,0
Liam Fawcett,RIC,0.4,0.2,0,0
Tyrell Dewar,WCE,1.02,0.2,0,0
Liam Reidy,FRE,4.14,0.2,0,0
Archie Roberts,ESS,1.78,0.2,1,0
Elijah Tsatas,ESS,2.74,0.2,0,0
Colby McKercher,NTH,5.34,0.2,0,0
Cooper Simpson,FRE,1.83,0.2,0,0
Kynan Brown,MEL,0.54,0.2,0,0
Tom Gross,WCE,0.53,0.2,0,0
Malakai Champion,WCE,0.28,0.2,0,0
Ricky Mentha ,MEL,0.33,0.2,0,0
Phoenix Gothard,GWS,0.38,0.2,1,0
William Hayes,COL,0.89,0.2,1,10
Travis Boak,PTA,0.32,0.1,0,0
Jarrod Witts,GCS,0.99,0.1,0,0
Aidan Corr,NTH,0.73,0.1,0,0
Zac Williams,CAR,1.86,0.1,0,0
Adam Saad,CAR,2.19,0.1,0,0
Aaron Francis,SYD,0.11,0.1,0,0
Matt Flynn,WCE,1.84,0.1,0,0
Sam Powell-Pepper,PTA,2.36,0.1,0,0
Dan Houston,COL,5.36,0.1,0,0
Lewis Melican,SYD,1.87,0.1,1,0
Ryan Gardner,WBD,0.42,0.1,0,0
Jarrod Berry,BRL,0.58,0.1,0,0
Cameron Zurhaar,NTH,0.92,0.1,0,0
Lloyd Meek,HAW,9.22,0.1,0,0
Josh Daicos,COL,5.22,0.1,0,0
Keidean Coleman,BRL,3.58,0.1,0,0
Jack Ross,RIC,0.94,0.1,0,0
Xavier O'Halloran,GWS,3.4,0.1,0,0
Tom McCartin,SYD,1.89,0.1,1,0
Nick Murray,ADE,0.88,0.1,0,0
Luke Beecken,BRL,3.41,0.1,0,0
Brodie Kemp,CAR,0.47,0.1,0,0
James Blanck,HAW,0.84,0.1,0,0
Ben Jepson,GCS,4.47,0.1,0,0
Sandy Brock,WCE,1.16,0.1,0,0
Hugh Jackson,PTA,4.46,0.1,0,0
Will Verrall,MEL,3.84,0.1,0,0
Judson Clarke,RIC,0.19,0.1,0,0
Josh Rachele,ADE,1.28,0.1,0,0
Darcy Wilmot,BRL,0.75,0.1,0,0
Jayden Nguyen,ESS,5.61,0.1,0,0
Jakob Ryan,COL,0.37,0.1,1,0
Jai Culley,MEL,0.35,0.1,0,0
Oliver Wiltshire,GEE,0.68,0.1,0,0
Toby Murray,ADE,0.81,0.1,0,0
Jacob Bauer,RIC,1.08,0.1,0,0
Bodie Ryan,HAW,0.24,0.1,1,10
Hugh Davies,FRE,0.83,0.1,0,0
Jedd Busslinger,WBD,2.26,0.1,0,0
Ted Clohesy,GEE,6.45,0.1,0,0
Reece Torrent,BRL,0.43,0.1,0,0
Clay Hall,WCE,2.04,0.1,0,0
Patrick Snell,SYD,0.29,0.1,0,0
Oisin Mullin,GEE,0.63,0.1,0,0
Jacob Molier,GEE,0.17,0.1,0,0
Ben Camporeale,CAR,0.81,0.1,0,0
Billy Wilson,CAR,1.87,0.1,0,0
Lachlan Smith,WBD,0.86,0.1,1,0
Will White,CAR,0.62,0.1,0,0
Geordie Payne,NTH,0.56,0.1,1,0
Josh Weddle,HAW,4.95,0.1,0,0
Aiden Riddle,FRE,0.24,0.1,0,0
Oliver Hannaford,GWS,2.17,0.1,0,0
Asher Eastham,GCS,0.05,0.1,0,0
Matt Whitlock,NTH,1.8,0.1,0,0
Archer Day-Wicks,ESS,0.78,0.1,0,0
Lachlan Gulbin ,GCS,0.07,0.1,0,0
Ryan Maric,WCE,1.02,0.1,0,0
Jobe Shanahan,WCE,0.54,0.1,0,0
Ty Gallop,BRL,0.46,0.1,0,0
Oliver Hayes-Brown,RIC,0.27,0.1,0,0
Campbell Gray,RIC,0.57,0.1,1,10
Jaime Uhr-Henry,HAW,0.8,0.1,0,0
Josh Lai,PTA,0.42,0.1,0,0
Scott Pendlebury,COL,2.02,0,0,0
Patrick Dangerfield,GEE,0.75,0,0,0
Todd Goldstein,ESS,0.47,0,0,0
Callan Ward,GWS,0.85,0,0,0
Rhys Stanley,GEE,0.73,0,0,0
