Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Bailey Smith,GEE,72.41,100,100,100
Caleb Daniel,NTH,65.91,98.8,100,100
Jack Macrae,STK,58.62,98.8,100,100
Sam Davidson,WBD,55.55,96.6,95,90
Zach Reid,ESS,63.71,95.7,98,100
Lucas Camporeale,CAR,50.87,91.4,92,90
Tom De Koning,CAR,42.91,89.8,92,100
Harry Boyd,STK,55.66,86.9,85,70
Clayton Oliver,MEL,55.92,86.6,83,70
Tristan Xerri,NTH,58.41,85.7,80,90
Sam De Koning,GEE,19.46,85.6,93,100
Matt Roberts,SYD,48.16,82.6,82,70
Connor Rozee,PTA,36.44,79.8,80,90
Jordan Dawson,ADE,29.71,78.2,74,100
Levi Ashcroft,BRL,59.47,77.9,78,60
Conor Stone,GWS,47.37,77.6,74,50
Will Day,HAW,56.76,76.6,69,90
Finn O'Sullivan ,NTH,53.15,75.7,68,60
Jayden Short,RIC,39.35,74.9,71,70
Nathan O'Driscoll,FRE,28.33,68.8,74,90
Jason Horne-Francis,PTA,60.16,66.1,59,60
Ryley Sanders,WBD,41.24,64.4,50,40
Luke Trainor,RIC,36.39,61.7,49,50
Hugo Garcia,STK,33.51,60.5,54,40
Harry Sheezel,NTH,55.89,59.5,74,60
James Leake,GWS,51.02,59.3,63,70
Joel Freijah,WBD,15.71,58.4,61,40
Harry Perryman,COL,46.86,56.2,38,0
Isaac Kako,ESS,53.23,52.5,53,60
Sam Lalor ,RIC,34.82,38.9,29,10
Adam Cerra,CAR,13.29,38.2,43,20
Izak Rankine,ADE,15.94,33.9,45,50
Max Hall,STK,21.66,33.6,40,20
Max Holmes,GEE,16.81,31.3,32,50
Murphy Reid ,FRE,20.39,29.9,30,30
Finn Callaghan,GWS,27.08,29.4,27,20
Angus Hastie,STK,16.66,27.5,31,30
Jaxon Prior,ESS,19.12,25,18,30
Max Gawn,MEL,18.58,19.3,22,10
Tom Powell,NTH,3.38,18.2,33,20
Archer Reid,WCE,22.21,18.2,23,30
Oliver Hollands,CAR,10.74,18.1,13,0
Nasiah Wanganeen-Milera,STK,8.82,16.9,16,20
Elijah Hewett,WCE,25.3,16.2,14,0
Mitch Knevitt,GEE,4.01,15.5,22,30
Christian Petracca,MEL,11.25,15.2,12,10
Sid Draper ,ADE,27.81,12,11,10
Hugh Boxshall,STK,10.72,11.9,13,10
Tom Liberatore,WBD,4.49,10.5,14,20
Xavier Lindsay,MEL,3.09,9.5,9,10
Sam Taylor,GWS,18.33,9.3,10,20
Bo Allan ,WCE,20.19,9.2,11,0
Harvey Langford ,MEL,17.93,9.2,10,20
Liam O'Connell,STK,10.11,9,12,20
Riley Bice,SYD,15.32,8.7,9,10
Andrew Brayshaw,FRE,9.85,7.9,9,0
Saad El-Hawli,ESS,21.94,7.9,8,20
Corey Warner,SYD,14.67,7.9,10,10
Dayne Zorko,BRL,8.63,7.7,13,10
Jy Simpkin,NTH,4.47,7.2,10,30
Max Gruzewski,GWS,10.86,6.9,6,20
Jeremy Finlayson,PTA,3.19,6.4,9,10
Joe Berry,PTA,10.56,6,8,20
Lachie Ash,GWS,10.87,5.5,4,0
Tom Hanily,SYD,8.24,5.2,7,10
Lachie Whitfield,GWS,22.08,4.9,2,0
Jack Henderson,MEL,5.87,4.7,5,0
Nick Daicos,COL,28.27,4.7,4,0
Will Ashcroft,BRL,17.29,4.7,1,0
Tom Stewart,GEE,4.97,4.3,4,0
Daniel Curtin,ADE,11.75,4.3,4,0
Nic Martin,ESS,6.27,3.8,1,0
Caleb Serong,FRE,9.48,3.7,3,10
Jake Soligo,ADE,2.19,3.5,7,10
James Peatling,ADE,7.31,3.4,4,0
Noah Anderson,GCS,2.98,3.3,4,10
Ben Hobbs,ESS,3.39,3.2,1,0
Jordan Clark,FRE,4.19,3,2,0
Connor O'Sullivan,GEE,7.68,3,4,0
Jack Hutchinson,WCE,2.95,2.9,2,0
Jack Graham,WCE,1.86,2.8,4,0
James Sicily,HAW,12.61,2.7,5,10
Josh Dunkley,BRL,3.26,2.7,4,0
Dylan Moore,HAW,21.17,2.7,2,0
Jacob Konstanty,NTH,4.53,2.7,4,10
Harry Armstrong ,RIC,4.75,2.7,3,0
Sam Wicks,SYD,5.18,2.6,1,0
Tobie Travaglia,STK,11.28,2.3,4,10
Zach Merrett,ESS,9.15,2.2,2,0
Miles Bergman,PTA,2.68,2.1,1,0
Karl Amon,HAW,3.8,2,3,0
Trent Rivers,MEL,3.39,2,0,0
Ethan Read,GCS,4.2,2,1,0
Hamish Davis,WCE,0.83,2,3,20
Patrick Cripps,CAR,6.38,1.7,1,0
Tim Taranto,RIC,3.71,1.7,0,0
Max Heath,STK,12.41,1.7,3,10
Dan Houston,COL,5.2,1.5,2,10
Jack Sinclair,STK,7.4,1.5,1,0
Bailey Dale,WBD,2.09,1.5,1,0
Jack Silvagni,CAR,1.47,1.5,4,10
Lawson Humphries,GEE,2.63,1.5,5,0
Dylan Shiel,ESS,1.64,1.4,2,0
Toby Nankervis,RIC,1.85,1.4,5,0
Gryan Miers,GEE,3.25,1.3,3,10
Elijah Tsatas,ESS,3.81,1.3,1,0
Colby McKercher,NTH,5.94,1.3,1,0
Matthew Kennedy,WBD,1.65,1.2,2,10
Lachlan Charleson,PTA,10.28,1.2,2,0
Coen Livingstone,WCE,6.48,1.2,0,0
Josh Dolan,WBD,2.08,1.2,3,0
Kamdyn McIntosh,RIC,1.42,1.1,1,0
Luke Jackson,FRE,7.48,1.1,0,0
Jake Bowey,MEL,0.39,1.1,1,0
Aidan Johnson,MEL,0.88,1.1,0,0
Jeremy Cameron,GEE,6.75,1,1,10
Nick Haynes,CAR,1.53,0.9,1,0
Liam Baker,WCE,5.41,0.9,0,0
Isaac Cumming,ADE,3.31,0.9,5,10
Patrick Lipinski,COL,9.28,0.9,0,0
Matthew Jefferson,MEL,0.69,0.9,2,0
Corey Wagner,FRE,0.83,0.8,2,0
Andrew McGrath,ESS,1.04,0.8,1,10
Kane Farrell,PTA,0.88,0.8,1,10
Ed Richards,WBD,1.03,0.8,0,0
Josh Gibcus,RIC,5.8,0.8,1,0
Karl Worner,FRE,2.34,0.8,2,0
Josh Kelly,GWS,2.98,0.7,1,0
Daniel Rioli,GCS,3.52,0.7,1,0
Reef McInnes,COL,3.9,0.7,0,0
Luke Cleary,WBD,2.66,0.7,1,0
Kaleb Smith,RIC,3.08,0.7,1,0
Luke Parker,NTH,2.04,0.6,1,10
Jordon Sweet,PTA,2.38,0.6,1,0
Josh Daicos,COL,5.41,0.6,1,0
Sam Walsh,CAR,3.67,0.6,1,0
Jye Caldwell,ESS,0.52,0.6,2,0
Harry Barnett,WCE,4.87,0.6,0,0
Charlie Edwards,ADE,1.46,0.6,1,0
Christian Salem,MEL,0.35,0.5,1,0
Darcy Cameron,COL,7.15,0.5,0,0
Luke Ryan,FRE,3.43,0.5,0,0
Nick Blakey,SYD,6.39,0.5,0,0
Riley Thilthorpe,ADE,1.65,0.5,0,0
Loch Rawlinson,WCE,0.92,0.5,0,0
Liam Reidy,FRE,4.65,0.5,0,0
Patrick Said,STK,0.33,0.5,2,0
Luke Urquhart,NTH,0.54,0.5,0,0
Cody Angove ,GWS,8.09,0.5,0,0
Jarrod Witts,GCS,0.95,0.4,0,0
Rory Laird,ADE,0.47,0.4,1,0
Wayne Milera,ADE,1.44,0.4,0,0
Matt Flynn,WCE,2.19,0.4,0,0
Sam Banks,RIC,0.84,0.4,1,0
Isaac Keeler,STK,2.61,0.4,0,0
Rhett Bazzo,WCE,1.68,0.4,0,0
Lucca Grego,WCE,1.07,0.4,0,0
Ashton Moir,CAR,2.58,0.4,0,0
Bailey Humphrey,GCS,1,0.4,2,0
Archie Roberts,ESS,1.83,0.4,0,0
Ben Camporeale,CAR,0.89,0.4,0,0
Darcy Wilson,STK,1.4,0.4,0,0
William Hayes,COL,0.87,0.4,2,20
George Hewett,CAR,0.63,0.3,0,0
Jack Steele,STK,1.91,0.3,0,0
Daniel McStay,COL,1.32,0.3,0,0
Isaac Heeney,SYD,9.92,0.3,0,0
Lloyd Meek,HAW,11.4,0.3,0,0
Tim English,WBD,7.15,0.3,0,0
Jack Ross,RIC,0.5,0.3,0,0
Matt Rowell,GCS,1.45,0.3,0,0
Nick Bryan,ESS,1.24,0.3,0,0
Josh Worrell,ADE,0.32,0.3,1,0
Chad Warner,SYD,7.15,0.3,0,0
Sam Darcy,WBD,2.41,0.3,0,0
Lance Collard,STK,0.34,0.3,2,10
Angus Sheldrick,SYD,6.34,0.3,1,0
James Tunstill,BRL,4.63,0.3,0,0
Harry Rowston,GWS,0.46,0.3,0,0
Clay Hall,WCE,2.07,0.3,0,0
Ricky Mentha ,MEL,0.3,0.3,1,0
