player,position,price,change,priced at,breakeven,last score,last tog,last ppm,last cba,cba change,last ki,ki change,season avg,tog,season ppm,season cba,season ki,last 3 avg,last 3 tog,last 3 ppm,last 3 cba,last 3 ki,ownership total,ownership top 1000,ownership top 100,ownership top 10,ownership top 1000 chg,ownership top 100 chg,ownership top 10 chg,win avg,loss avg,home avg,away avg,opp last score,opp last 3 score,opp career,reserves avg,reserves last
Ben Ainsworth,FWD,669000,1000,68,68,0,0,0,0,0,0,0,69,0.82,0.7,0,0,69,0.82,0.7,0,0,0,0,0,0,0,0,0,69,0,0,69,61,60,68,0,0
Mitch Georgiades,FWD,634000,-18000,65,54,103,0.88,0.98,0,0,0,0,68,0.85,0.66,0,0,68,0.85,0.66,0,0,0.01,0,0,0,0,0,0,103,32,103,32,86,79,79,0,0
Toby Pink,FWD,365000,27000,37,12,68,0.9,0.63,0,0,0,0,68,0.9,0.63,0,0,68,0.9,0.63,0,0,0,0,0,0,0,0,0,68,0,68,0,0,0,0,0,0
Ollie Dempsey,MID,735000,-12000,75,88,55,0.86,0.53,0,0,0,0,68,0.87,0.65,0,0,68,0.87,0.65,0,0,0.01,0,0,0,0,0,0,81,55,81,55,54,54,54,0,0
Jack Higgins,FWD,627000,3000,64,56,80,0.82,0.81,0,0,0,0,68,0.8,0.71,0,0,68,0.8,0.71,0,0,0,0,0,0,0,0,0,80,56,80,56,36,54,50,0,0
Changkuoth Jiath,MID,505000,13000,52,38,68,0.74,0.77,0,0,0.08,0.08,68,0.74,0.77,0,0.08,68,0.74,0.77,0,0.08,0.01,0,0,0,0,0,0,68,0,0,68,33,42,51,0,0
Matt Cottrell,MID/FWD,542000,30000,55,35,78,0.91,0.71,0,0,0,0,68,0.91,0.63,0,0,68,0.91,0.63,0,0,0.01,0,0,0,0,0,0,0,68,78,58,30,54,54,0,0
Sam Durham,MID,811000,-40000,83,106,60,0.82,0.61,0.72,0.17,0,0,68,0.83,0.68,0.63,0,68,0.83,0.68,0.63,0,0.01,0,0,0,0,0,0,0,68,60,75,43,61,61,0,0
Tyrell Dewar,FWD,389000,66000,40,-4,89,0.82,0.9,0,0,0,-0.25,68,0.83,0.68,0,0.13,68,0.83,0.68,0,0.13,0.01,0,0,0,0,0,0,0,68,46,89,0,0,0,0,0
Harry Morrison,MID,622000,42000,64,57,61,0.79,0.64,0,0,0,0,68,0.81,0.7,0,0,68,0.81,0.7,0,0,0.01,0,0,0,0,0,0,68,0,73,66,14,63,62,0,0
Jacob Hopper,MID,811000,-35000,83,107,54,0.77,0.58,0.76,-0.07,0,0,68,0.78,0.72,0.8,0,68,0.78,0.72,0.8,0,0.01,0,0,0,0,0,0,81,54,81,54,80,84,88,0,0
Anthony Caminiti,FWD,523000,31000,54,30,83,1,0.69,0,0,0,0,68,0.96,0.59,0,0,68,0.96,0.59,0,0,0,0,0,0,0,0,0,83,53,83,53,48,40,40,0,0
Laitham Vandermeer,FWD,511000,53000,52,34,53,0.79,0.56,0,0,0,0,67,0.79,0.71,0,0,67,0.79,0.71,0,0,0,0,0,0,0,0,0,81,53,67,0,28,53,53,0,0
Jake Lever,DEF,608000,32000,62,61,40,0.79,0.42,0,0,0,0,67,0.84,0.65,0,0,67,0.84,0.65,0,0,0.01,0,0,0,0,0,0,0,67,93,40,31,41,50,0,0
