Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10
Jack Macrae,STK,68.1788,98.7,99,100
Caleb Daniel,NTH,75.9384,98.6,99,100
Sam Davidson,WBD,64.4176,95.1,95,100
Tom De Koning,CAR,47.325,94.2,93,90
Bailey Smith,GEE,60.8329,94.2,95,100
Clayton Oliver,MEL,63.4947,92.4,88,100
Zach Reid,ESS,66.0853,90.7,83,60
Mitch Knevitt,GEE,44.7028,82.9,80,80
Luke Trainor,RIC,55.1248,82.7,80,100
Jason Horne-Francis,PTA,64.8969,81,71,40
Harry Boyd,STK,58.2176,80.9,73,80
Harry Sheezel,NTH,68.2121,80.3,65,40
Lucas Camporeale,CAR,49.1909,79.6,75,70
Matt Roberts,SYD,40.7445,79.2,78,70
Isaac Kako,ESS,72.4002,74.7,66,40
Elijah Tsatas,ESS,55.4846,74.6,67,80
Levi Ashcroft,BRL,62.6075,70,69,60
Connor Rozee,PTA,22.5307,67.3,72,80
Izak Rankine,ADE,27.744,66.7,69,50
Nathan O'Driscoll,FRE,29.4823,65.3,72,70
Matt Flynn,WCE,33.1142,64.1,64,60
Elijah Hewett,WCE,48.2726,61.4,60,40
Tristan Xerri,NTH,53.1911,61.2,58,60
Conor Stone,GWS,29.9237,57.1,52,50
Finn O'Sullivan,NTH,49.3167,54.1,52,50
James Leake,GWS,48.6225,53.6,50,40
Ben Paton,SYD,40.8198,53.2,36,20
Adam Cerra,CAR,13.9033,44.5,42,40
Finn Callaghan,GWS,30.7311,44.2,35,30
Max Holmes,GEE,24.4167,43.1,53,50
Dayne Zorko,BRL,13.7022,39.2,38,40
Jayden Short,RIC,25.1052,39.2,40,50
Harry Perryman,COL,32.9297,38.1,29,30
Will Day,HAW,41.1681,31.2,21,10
Max Gawn,MEL,21.748,30.3,28,40
Sam Lalor,RIC,27.1906,26.7,32,30
Angus Hastie,STK,12.4649,25.6,31,30
Sam De Koning,GEE,11.0289,24.7,39,40
Murphy Reid,FRE,17.9736,23.4,28,30
Jaxon Prior,ESS,17.4863,22.7,28,50
Andrew Brayshaw,FRE,11.9276,22.7,14,0
Joel Freijah,WBD,8.31131,21.4,33,60
Ryley Sanders,WBD,28.7525,21.3,20,30
Bo Allan,WCE,24.1305,19.5,26,30
Sam Powell-Pepper,PTA,27.6394,19.4,20,20
Hugo Garcia,STK,19.3614,19.3,20,20
Max Hall,STK,14.4676,18.5,17,10
Jordan Clark,FRE,8.07225,17.6,15,10
Hugh Boxshall,STK,10.8565,16.8,10,20
Jordan Dawson,ADE,11.7495,16.7,19,30
Josh Dunkley,BRL,1.7711,16.5,38,40
Noah Anderson,GCS,6.82696,16.5,18,20
Caleb Serong,FRE,25.0782,16.3,6,0
Lachie Whitfield,GWS,12.9339,14.7,16,20
Jack Henderson,MEL,6.89592,13,14,10
Christian Petracca,MEL,10.9892,12.1,9,10
Tom Lynch,RIC,19.8137,12,12,10
Will Ashcroft,BRL,19.0327,11.5,5,0
Tom Stewart,GEE,8.87045,10.8,14,50
Nasiah Wanganeen-Milera,STK,11.2788,9.9,11,10
Archer Reid,WCE,13.7074,9.8,17,0
Riley Bice,SYD,14.7038,9.6,8,0
Dan Houston,COL,10.1077,9,14,10
Patrick Cripps,CAR,13.9769,8.8,11,20
Nick Daicos,COL,32.0861,8.4,8,10
Neil Erasmus,FRE,16.7944,8.3,6,10
Joe Berry,PTA,12.823,8.2,10,10
Tom Liberatore,WBD,3.70885,8.1,6,10
Connor O'Sullivan,GEE,12.935,8,6,10
Sid Draper,ADE,22.5698,5.8,7,20
Saad El-Hawli,ESS,15.4664,5.7,5,10
Jeremy Finlayson,PTA,2.75262,5.7,14,20
Matt Rowell,GCS,4.00078,5.5,6,0
Luke Parker,NTH,15.2107,5.1,6,0
Xavier Lindsay,MEL,3.06006,5,4,0
Ed Richards,WBD,1.12346,4.9,7,10
Harvey Langford,MEL,14.3412,4.6,5,0
James Sicily,HAW,7.35277,4.4,5,0
Angus Sheldrick,SYD,6.55457,4.4,5,10
