playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1022689,2025,2,Bella K.,Smith,2,CD_T8467,GEEL,Geelong Cats,Cats,1,49.7,0,0,7,1,2,0,0,0,0,18.2,2,0,0,0,3,80,10,24,8,2,1,2,0,0,0,0,2,7,0,0,0,0,1,0,0,66.7,0,0,3,0.4,1,0,0,23.1,1,9,0,0,0,0,0,0,0,1,1,0,2,11,5,9
CD_I1022691,2025,2,Ella,Smith,2,CD_T8786,GCFC,Gold Coast SUNS,SUNS,2,39.4,0,0,0,0,1.5,0,0,0,0,0,0,0.5,0,0,1.5,83.3,3,16.5,2.5,2,0,0.5,0,0,0.5,0,0,1,0,0,0,0,1,0,0,100,0,0,2,2,2,0,0,80.7,0,4.5,0,0,0,0.5,0,0,0,0,1,0,0,3.5,1,3.5
CD_I1022695,2025,2,Jasmyn,Smith,2,CD_T7387,WB,Western Bulldogs,Bulldogs,2,70.7,0,0.5,0,0,1.5,0,0,0.5,0,41.2,7,0,0,0,8.5,63.6,16.5,62,10.5,5.5,1,0,1,0,0,0,5.5,7.5,0,0,0,0,1.5,0.5,3.5,61.1,0,0,9,1.2,3,0,0,208.3,1,11,0,1.5,0,1.5,0,0,1,1,2.5,0,1,17,3,10
CD_I1022701,2025,2,Alana,Gee,2,CD_T8796,EUR,Euro-Yroke,St Kilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1022723,2025,2,Brodee,Mowbray,2,CD_T7889,GWS,GWS GIANTS,GIANTS,2,78.5,0,0,0,0,2.5,0,0,0,1,50,6,0,0,0,3,73.9,11.5,44,8.5,4,2.5,1.5,1.5,0,1,0,3.5,7,0,0,0,0,2,0,1,88.9,0,0,4.5,0.6,2.5,1,0.5,142.3,1,10.5,0,0,0,2.5,0.5,0.5,0.5,0,3,1.5,0,12,2,6
CD_I1022726,2025,2,Teagan,Germech,2,CD_T9409,YAR,Yartapuulti,Power,2,93.1,0,1,0,0,2.5,0.5,25,2,0.5,65,6.5,0,0,0,6,60,10,40,6,2.5,0,0.5,0,0,0,0,5.5,4,0,0,0,0,0,0.5,6,41.7,0,0,6,1.5,2.5,0,0,198.9,3.5,6,0,2,3,0,0,0,3,1,2,0,1,10,2.5,3.5
CD_I1022736,2025,2,Jessica,Doyle,2,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1022738,2025,2,Ruby,Sargent-Wilson,2,CD_T9408,SYD,Sydney Swans,Swans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1022744,2025,2,Madeline,Hendrie,2,CD_T8096,CARL,Carlton,Blues,2,100,0,0,0,0,2,2,66.7,3,0,50,4.5,0,0,0,4.5,66.7,9,40.5,6,3,0,0.5,0.5,0,0,0,4,4.5,0,0,0,0,0.5,1.5,6.5,66.7,0,0,4.5,1,3,0,0,19.3,3,5,0,0.5,0,0.5,0.5,0,2,0,2.5,0,0,9,1.5,4.5
CD_I1022745,2025,2,Ella,Heads,2,CD_T9409,YAR,Yartapuulti,Power,2,72.6,0.5,0,11,0.5,2,0,0,0,0,45,4.5,0,0,0,5.5,61.9,10.5,57.5,6.5,5,1,0.5,1,0,0,0,3.5,2.5,0,0,0,0,2,1,3,62.5,0,0,8,3.2,3.5,1,0,213.8,0.5,10,0,1.5,0,0.5,0,1,0.5,1.5,4.5,1.5,2,10,1.5,5.5
