playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ranking,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I998030,2025,2,Kiara,Bowers,2,CD_T7886,WAL,Walyalup,Dockers,2,78.2,0,0,29,6,5,0,0,0,1,62.5,25,0,0,0,32,62.5,40,220,25,13,1,2,3,0,0,0,20,15,0,0,0,0,7,0,4,52,0,0,25,1.7,6,1,0,638,3,47,0,0,2,0,4,0,0,1,6,25,3,12,40,12,15
CD_I998032,2025,2,Emma,Swanson,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,94.7,0,1,0,0,6,0,0,3,0,30.6,11,0,0,0,11,61.1,36,146,22,16,0,2,3,0,0,0,6,10,0,0,0,0,3,0,11,61.5,3,3,26,2.6,9,0,0,699,5,17,0,0,9,0,2,0,0,3,1,6,1,1,36,8,25
CD_I998039,2025,2,Tayla,Harris,2,CD_T7386,NAR,Narrm,Demons,2,64.6,4,0,0,0,4,0,0,0,4,57.9,11,8,4,50,4,61.9,21,138,13,8,1,2,2,50,0,4,5,5,2,0,0,50,4,0,0,50,0,0,16,3.2,10,4,2,454,2,12,0,0,0,4,9,0,8,2,1,6,2,1,19,5,8
CD_I998040,2025,2,Hayley,Miller,2,CD_T7886,WAL,Walyalup,Dockers,2,80.7,1,0,5,0,10,0,0,0,0,43.5,10,3,0,0,2,30.4,23,137,7,7,1,0,2,66.7,0,4,8,5,1,0,0,25,2,0,4,38.9,0,0,18,3.6,7,5,1,361,0,21,0,0,2,4,9,0,6,0,0,6,4,0,23,8,13
CD_I998041,2025,2,Kellie,Gibson,2,CD_T8787,WAA,Waalitj Marawar,Eagles,1,61.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,57.1,7,31,4,2,0,0,0,100,0,1,0,2,0,0,0,0,0,0,0,40,0,0,5,2.5,2,0,2,84,0,5,0,0,0,1,1,0,1,0,1,0,0,1,5,2,5
CD_I998044,2025,2,Chelsea,Randall,2,CD_T8098,KUW,Kuwarna,Crows,1,81.9,0,1,1,0,3,0,0,0,0,10,1,0,0,0,2,63.6,11,57,7,5,0,0,1,75,1,3,1,4,0,0,0,0,3,0,0,71.4,0,0,7,1.8,3,1,3,177,1,8,0,0,0,0,5,0,4,1,1,0,0,1,10,3,9
CD_I998149,2025,2,Paxy,Paxman,2,CD_T7386,NAR,Narrm,Demons,2,74.6,0,0,0,1,6,0,0,0,0,33.3,12,0,0,0,8,69.4,36,136,25,15,2,2,1,100,2,1,8,14,0,0,0,0,4,0,6,68.2,1,1,22,1.6,3,0,1,547,7,23,0,0,3,0,9,0,1,3,1,8,1,2,36,6,24
CD_I998150,2025,2,Emma,Kearney,2,CD_T8466,NMFC,Kangaroos,Kangaroos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I998155,2025,2,Emily,Bates,2,CD_T9407,HAW,Hawthorn,Hawks,2,80,1,0,16,3,12,0,0,0,0,40,18,0,0,0,21,60,45,152,27,7,1,6,2,50,0,1,15,25,0,0,0,0,9,0,2,35,0,0,20,0.8,5,0,0,623,1,35,0,0,2,0,6,0,2,0,4,9,0,7,45,9,27
CD_I998156,2025,2,Dana,Hooker,2,CD_T8787,WAA,Waalitj Marawar,Eagles,2,81.8,0,0,0,1,4,0,0,0,1,42.9,9,0,0,0,10,65,20,70,13,8,0,3,1,0,0,0,7,6,0,0,0,0,3,0,5,57.1,0,0,14,2.3,4,0,0,275,0,20,0,0,1,0,0,0,0,0,0,3,0,1,21,3,12
CD_I998157,2025,2,Katie,Brennan,2,CD_T8788,RICH,Richmond,Richmond,2,79.1,1,0,1,0,5,0,0,0,0,43.5,10,3,1,33.3,7,65,20,72,13,7,5,4,3,0,1,0,5,8,0,0,0,0,5,0,1,58.3,0,0,12,1.5,4,0,0,322,1,11,0,0,1,2,5,0,1,1,3,4,0,3,23,7,13
CD_I998164,2025,2,Nicola,Stevens,2,CD_T8796,EUR,Euro-Yroke,St Kilda,2,87.8,0,0,0,0,2,1,33.3,3,1,46.2,6,0,0,0,23,66.7,15,79,10,5,0,0,0,0,0,0,4,8,0,0,0,0,1,0,6,71.4,2,2,7,0.9,2,0,0,236,14,25,0,0,6,0,1,0,0,10,1,9,0,1,13,5,7
