playerId,snapshot_season,snapshot_round,givenName,surname,gamesPlayed,teamId,teamAbbr,teamName,teamNickname,matchesPlayed,timeOnGroundPercentage,behinds,bounces,centreBounceAttendances,centreClearances,clangers,contestDefLosses,contestDefLossPercentage,contestDefOneOnOnes,contestedMarks,contestedPossessionRate,contestedPossessions,contestOffOneOnOnes,contestOffWins,contestOffWinsPercentage,defHalfPressureActs,disposalEfficiency,disposals,dreamTeamPoints,effectiveDisposals,effectiveKicks,f50GroundBallGets,freesAgainst,freesFor,goalAccuracy,goalAssists,goals,groundBallGets,handballs,hitouts,hitoutsToAdvantage,hitoutToAdvantageRate,hitoutWinPercentage,inside50s,interceptMarks,intercepts,kickEfficiency,kickins,kickinsPlayon,kicks,kickToHandballRatio,marks,marksInside50,marksOnLead,metresGained,onePercenters,pressureActs,ratingPoints,rebound50s,ruckContests,scoreInvolvements,scoreLaunches,shotsAtGoal,spoils,stoppageClearances,tackles,tacklesInside50,totalClearances,totalPossessions,turnovers,uncontestedPossessions
CD_I1014375,2025,1,Ellie,McKenzie,1,CD_T8788,RICH,Richmond,Richmond,1,66.3,0,0,13,4,1,0,0,0,0,40,8,1,0,0,9,85,20,92,17,9,2,0,2,100,0,1,5,9,0,0,0,0,4,2,2,81.8,0,0,11,1.2,3,0,0,315.1,3,19,0,3,0,3,1,1,1,4,6,2,8,20,1,12
CD_I1014556,2025,1,Hannah,Priest,1,CD_T8796,STK,St Kilda,St Kilda,1,70.4,0,0,0,0,2,0,0,0,0,70,7,0,0,0,9,40,10,48,4,3,3,0,2,50,1,1,4,4,0,0,0,0,0,0,1,50,0,0,6,1.5,2,1,1,66.9,2,13,0,0,0,2,0,2,1,0,2,0,0,10,3,3
CD_I1014559,2025,1,Najwa,Allen,1,CD_T9407,HAW,Hawthorn,Hawks,1,71.5,0,0,0,0,1,1,33.3,3,0,33.3,3,0,0,0,5,55.6,9,33,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,55.6,0,0,9,9,2,0,0,235.4,5,7,0,1,0,1,0,0,4,1,0,0,1,9,2,6
CD_I1014599,2025,1,Caitlin,Gould,1,CD_T8098,ADEL,Adelaide Crows,Crows,1,95.2,1,0,1,0,1,0,0,0,1,63.6,7,5,0,0,1,40,10,56,4,1,3,0,0,0,0,0,4,6,6,2,33.3,42.9,0,0,0,25,0,0,4,0.7,3,2,0,106.7,2,12,0,0,14,2,1,2,2,0,4,3,0,11,1,4
CD_I1014624,2025,1,Indy,Tahau,1,CD_T9409,PORT,Port Adelaide,Power,1,90.5,0,0,0,0,4,0,0,0,0,41.7,5,0,0,0,5,75,12,45,9,7,0,1,1,0,0,0,4,2,0,0,0,0,1,3,8,70,0,0,10,5,3,0,0,192.3,2,6,0,3,0,1,0,0,1,0,1,0,0,12,4,7
CD_I1014628,2025,1,Taylah,Levy,1,CD_T7889,GWS,GWS GIANTS,GIANTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014662,2025,1,Kiera,Mueller,1,CD_T8098,ADEL,Adelaide Crows,Crows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD_I1014663,2025,1,Zoe,Prowse,1,CD_T8098,ADEL,Adelaide Crows,Crows,1,78.9,0,0,0,0,3,0,0,3,0,60,3,0,0,0,8,83.3,6,21,5,2,0,2,1,0,0,0,2,3,0,0,0,0,1,1,4,66.7,0,0,3,1,1,0,0,91.6,3,8,0,0,0,1,0,0,3,0,2,0,0,5,0,2
CD_I1014781,2025,1,Emelia,Yassir,1,CD_T8788,RICH,Richmond,Richmond,1,66.9,1,0,0,0,5,0,0,0,0,62.5,5,1,0,0,1,14.3,7,26,1,0,5,2,0,0,0,0,5,2,0,0,0,0,2,0,3,0,0,0,5,2.5,0,0,0,112.7,0,7,0,1,0,1,0,2,0,0,3,3,0,8,6,3
CD_I1014785,2025,1,Zali,Friswell,1,CD_T8467,GEEL,Geelong Cats,Cats,1,81.2,0,0,0,0,4,0,0,0,0,36.4,4,0,0,0,7,80,10,21,8,2,1,2,0,0,0,0,4,7,0,0,0,0,0,0,1,66.7,0,0,3,0.4,0,0,0,66.7,2,10,0,2,0,1,0,0,2,1,1,0,1,11,2,7
