snapshot_round,teamId,cba_team_prior,ki_team_prior,ki_po_team_prior,rc_team_prior
1,CD_T7386,14,7,7,55
1,CD_T7387,14,8,7,55
1,CD_T7886,14,6,6,61
1,CD_T7887,10,9,5,57
1,CD_T7889,20,7,4,54
1,CD_T8096,13,3,3,68
1,CD_T8097,13,8,8,68
1,CD_T8098,11,5,5,54
1,CD_T8466,15,3,3,62
1,CD_T8467,15,3,2,61
1,CD_T8786,11,5,4,52
1,CD_T8787,11,8,6,51
1,CD_T8788,16,10,10,62
1,CD_T8796,11,7,4,54
1,CD_T9406,20,10,10,55
1,CD_T9407,10,11,9,56
1,CD_T9408,16,8,8,61
1,CD_T9409,14,4,4,61
