playerId,snapshot_season,snapshot_round,player_name,position,teamNickname,cba,cba_prop,cba_team,ki,ki_team,ki_po,ki_po_prop,ki_prop,rc,rc_team,rc_prop
CD_I1019509,2025,1,Katelyn Pope,MID,Power,0,0,14,0,4,0,,0,0,61,0
CD_I1019681,2025,1,Charley Ryan,FWD,Richmond,0,0,16,0,10,0,,0,0,62,0
CD_I1019689,2025,1,Amber Clarke,FWD,St Kilda,2,18.1818181818182,11,0,7,0,,0,0,54,0
CD_I1019693,2025,1,Brooke Smith,DEF,Crows,0,0,11,0,5,0,,0,0,54,0
CD_I1019700,2025,1,Mackenzie Eardley,FWD,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1019705,2025,1,Mia Busch,DEF,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1019711,2025,1,Keeley Sherar,MID,Blues,11,84.6153846153846,13,0,3,0,,0,0,68,0
CD_I1019713,2025,1,Georgia Campbell,RUC,Demons,7,50,14,0,7,0,,0,26,55,47.2727272727273
CD_I1019724,2025,1,Carly Remmos,MID,Magpies,11,84.6153846153846,13,0,8,0,,0,0,68,0
CD_I1019734,2025,1,Charlotte Simpson,MID,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1019736,2025,1,Yasmin Duursma,DEF,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1019762,2025,1,Paige Scott,FWD,Richmond,0,0,16,0,10,0,,0,0,62,0
CD_I1019806,2025,1,Jemma Rigoni,DEF,Demons,0,0,14,0,7,0,,0,0,55,0
CD_I1019811,2025,1,Alice O'Loughlin,FWD,Kangaroos,0,0,15,0,3,0,,0,0,62,0
CD_I1019817,2025,1,Charlotte Taylor,DEF,Magpies,0,0,13,0,8,0,,0,0,68,0
CD_I1019819,2025,1,Brooke Vickers,MID,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1019821,2025,1,Jasmine Fleming,MID,Hawks,6,60,10,0,11,0,,0,0,56,0
CD_I1019828,2025,1,Keely Coyne,DEF,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1019830,2025,1,Bridie Hipwell,FWD,Hawks,1,10,10,0,11,0,,0,0,56,0
CD_I1019834,2025,1,Sofia Hurley,MID,Swans,8,50,16,0,8,0,,0,0,61,0
CD_I1019848,2025,1,Meghan Gaffney,FWD,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1019849,2025,1,Claire Ransom,MID,GIANTS,0,0,20,0,7,0,,0,0,54,0
CD_I1019883,2025,1,Laura Elliott,DEF,Hawks,0,0,10,0,11,0,,0,0,56,0
CD_I1019887,2025,1,Amelia Velardo,DEF,Blues,0,0,13,0,3,0,,0,0,68,0
CD_I1021365,2025,1,Annabel Kievit,MID,SUNS,0,0,11,0,5,0,,0,0,52,0
CD_I1021367,2025,1,J'Noemi Anderson,MID,St Kilda,0,0,11,0,7,0,,0,0,54,0
CD_I1021399,2025,1,Jessica Low,DEF,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1021409,2025,1,Matilda Dyke,RUC,Bombers,13,65,20,0,10,0,,0,22,55,40
CD_I1021410,2025,1,Dana East,MID,Freo,5,35.7142857142857,14,0,6,0,,0,1,61,1.63934426229508
CD_I1021411,2025,1,Amy Franklin,FWD,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1021412,2025,1,Maggie MacLachlan,MID,Bombers,2,10,20,0,10,0,,0,0,55,0
CD_I1021415,2025,1,Courtney Rowley,MID,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1021416,2025,1,Beth Schilling,DEF,Eagles,0,0,11,0,8,0,,0,0,51,0
CD_I1021417,2025,1,Poppy Stockwell,FWD,Freo,0,0,14,0,6,0,,0,0,61,0
CD_I1021419,2025,1,Charlotte Thomas,DEF,Eagles,0,0,11,8,8,6,133.333333333333,100,0,51,0
CD_I1021436,2025,1,Mikayla Pauga,MID,GIANTS,4,20,20,0,7,0,,0,0,54,0
CD_I1021441,2025,1,Charlotte Mullins,FWD,Lions,0,0,10,0,9,0,,0,0,57,0
CD_I1021454,2025,1,Caitlin Thorne,FWD,Cats,2,13.3333333333333,15,0,3,0,,0,0,61,0
CD_I1021456,2025,1,Lucy Single,MID,SUNS,10,90.9090909090909,11,0,5,0,,0,0,52,0
CD_I1021460,2025,1,Giselle Davies,RUC,Swans,0,0,16,0,8,0,,0,0,61,0
CD_I1021524,2025,1,Libby Graham,DEF,Richmond,0,0,16,1,10,1,100,10,0,62,0
CD_I1021527,2025,1,Brooke Brown,DEF,Bombers,0,0,20,0,10,0,,0,0,55,0
CD_I1021528,2025,1,Amy Smith,MID,Kangaroos,0,0,15,0,3,0,,0,0,62,0
CD_I1021529,2025,1,Tessa Lavey,MID,Richmond,0,0,16,0,10,0,,0,0,62,0
