Season,Round,player_id,Player,squad_id,Team,Position,af_cost,af_be,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_be,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,sc_magic_number,af_priced_at,sc_priced_at,Opposition,home_status
2025,5,CD_I1023261,Nick Daicos,40,COL,MID,1009000,86,584800,102,134,136,CD_M20250140502,81,28,0,88,0,32,6,Collingwood,Adelaide Oval,W,121,30.0681,6.6,3,0,28.58,5.8,6,10,10018.45029,5177.45313,100.7141795,112.9512881,Sydney Swans,home
2025,5,CD_I992468,Rowan Marshall,130,STK,RUC,1044000,145,516600,99,52,70,CD_M20250140508,78,25,0,81,0,31,14,St Kilda,Norwood Oval,L,196,2.77638,0.3,1,0,15.75,2.8,1,0,10018.45029,5177.45313,104.2077337,99.77878834,GWS GIANTS,home
2025,5,CD_I1004965,Tristan Xerri,100,NTH,RUC,984000,152,562300,102,83,73,CD_M20250140504,76,28,0,78,0,36,15,North Melbourne,Barossa Park,L,159,53.1345,56.4,54,30,55.06,51.6,39,40,10018.45029,5177.45313,98.21878353,108.605522,Gold Coast SUNS,home
2025,5,CD_I998659,Luke Ryan,60,FRE,DEF,875000,112,527700,87,52,60,CD_M20250140507,71,0,2,0,40,27,5,Fremantle,Barossa Park,W,129,5.58362,0.4,2,0,3.05,0.6,0,0,10018.45029,5177.45313,87.3388573,101.9226996,Richmond,away
2025,5,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1123000,127,598700,107,86,86,CD_M20250140508,85,0,7,0,70,31,10,GWS GIANTS,Norwood Oval,W,124,18.76,25,18,20,25.13,12.5,19,30,10018.45029,5177.45313,112.0931849,115.6360058,St Kilda,away
2025,5,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1027000,90,624000,98,155,123,CD_M20250140507,80,23,0,85,0,27,5,Fremantle,Barossa Park,W,83,14.2327,80.2,92,100,13.57,64,70,80,10018.45029,5177.45313,102.5108645,120.5225782,Richmond,away
2025,5,CD_I1009528,Tom Green,1010,GWS,MID,1023000,102,564600,96,113,108,CD_M20250140508,76,24,0,77,0,31,10,GWS GIANTS,Norwood Oval,W,96,2.22955,2.3,1,0,3.62,11.2,12,0,10018.45029,5177.45313,102.1116012,109.0497559,St Kilda,away
2025,5,CD_I1006094,Sam Walsh,30,CAR,MID,1032000,86,540600,105,141,126,CD_M20250140503,84,16,0,59,0,27,13,Carlton,Adelaide Oval,W,74,1.78667,1,1,0,3.77,5.1,5,10,10018.45029,5177.45313,103.0099437,104.4142721,West Coast Eagles,home
2025,5,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,122,581900,,,,,,,,,,,,,,,116,0.474821,0,0,0,1.15,0,0,0,10018.45029,5177.45313,111.0950265,112.3911671,,
2025,5,CD_I297907,Nic Newman,30,CAR,DEF,1052000,115,546800,,,,,,,,,,,,,,,109,0.0763396,0,0,0,0.29,0,0,0,10018.45029,5177.45313,105.0062604,105.6117721,,
