Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,7,CD_I1023261,Nick Daicos,40,COL,MID,1092000,640900,109,125,120,CD_M20250140702,86,25,0,83,0,30,6,Collingwood,MCG,W,53.2112,69.7,94,100,43.57,70.9,75,70,9881.21733949493,87,5051.8941417564,84,Geelong Cats,110.512699243575,126.863307507306,Essendon,home
2025,7,CD_I992468,Rowan Marshall,130,STK,RUC,934000,451000,114,133,107,CD_M20250140705,86,28,0,88,0,32,16,St Kilda,Marvel Stadium,L,2.23053,0.1,0,0,15.38,0.7,0,0,9881.21733949493,124,5051.8941417564,70,Fremantle,94.5227665691382,89.2734462253004,Brisbane Lions,home
2025,7,CD_I1004965,Tristan Xerri,100,NTH,RUC,974000,582500,118,158,122,CD_M20250140704,83,28,0,90,0,31,13,North Melbourne,Adelaide Oval,L,51.7681,52.7,48,60,52.24,52.3,39,40,9881.21733949493,84,5051.8941417564,44,Essendon,98.5708507905145,115.303286976136,Port Adelaide,away
2025,7,CD_I998659,Luke Ryan,60,FRE,DEF,836000,467400,111,78,94,CD_M20250140703,93,0,10,0,77,24,13,Fremantle,Optus Stadium,W,4.64378,0.3,0,0,2.83,0.4,0,0,9881.21733949493,91,5051.8941417564,121,St Kilda,84.6049602267661,92.5197533607659,Adelaide Crows,home
2025,7,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1159000,599200,104,104,117,CD_M20250140706,79,0,3,0,27,32,11,GWS GIANTS,Manuka Oval,L,21.5258,30.1,33,30,28.29,19.4,24,40,9881.21733949493,110,5051.8941417564,107,Sydney Swans,117.29324031438,118.608977778714,Western Bulldogs,home
2025,7,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1080000,666000,103,157,127,CD_M20250140703,86,19,0,79,0,24,13,Fremantle,Optus Stadium,W,16.8067,74,92,90,14.91,75.9,81,100,9881.21733949493,90,5051.8941417564,118,St Kilda,109.298273977162,131.831740989025,Adelaide Crows,home
2025,7,CD_I1009528,Tom Green,1010,GWS,MID,1024000,564400,105,84,87,CD_M20250140706,80,27,0,84,0,32,11,GWS GIANTS,Manuka Oval,L,2.82837,1.5,3,0,4.13,9.5,14,10,9881.21733949493,111,5051.8941417564,134,Sydney Swans,103.630956067235,111.720472393702,Western Bulldogs,home
2025,7,CD_I1006094,Sam Walsh,30,CAR,MID,1037000,570100,109,110,97,CD_M20250140708,87,14,0,48,0,29,4,Carlton,MCG,W,2.2861,0.9,0,0,3.96,2.6,8,0,9881.21733949493,108,5051.8941417564,122,Adelaide Crows,104.946583439182,112.848762068833,Geelong Cats,home
2025,7,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,581900,,,,,,,,,,,,,,,0.450915,0,0,0,1.1,0,0,0,9881.21733949493,113,5051.8941417564,117,,112.637943459797,115.184519641912,,
2025,7,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,0.0742621,0,0,0,0.29,0,0,0,9881.21733949493,106,5051.8941417564,110,,106.464615022198,108.236630589788,,
2025,7,CD_I1009199,Noah Anderson,1000,GCS,MID,1019000,550300,107,89,78,CD_M20250140707,83,28,0,88,0,32,7,Gold Coast SUNS,People First Stadium,W,8.3852,5.7,1,0,4.05,1.1,1,0,9881.21733949493,125,5051.8941417564,133,Brisbane Lions,103.124945539563,108.92944003943,Sydney Swans,home
2025,7,CD_I290528,Max Gawn,90,MEL,RUC,1065000,636300,97,174,138,CD_M20250140701,77,18,0,75,0,24,8,Melbourne,MCG,W,21.0242,42.5,71,80,23.34,57,72,50,9881.21733949493,72,5051.8941417564,87,West Coast Eagles,107.780242394146,125.952757944919,Richmond,home
