playerId,name,seasonAvg,games,cba,ki,tog,ppm,season,kicks,handballs,marks,tackles,hitouts,freeFor,freeAgainst,goals,behinds,seasonHigh,seasonLow,firstHalf,secondHalf,lastFive,lastThree,stateAvg,priorSeason,priorSeasonGames,mmRank,dateOfBirth
1004415,Jaimee Lambert,87.3,11,80,0,83,1.31475903614458,2025,11.5,7.5,2.3,7.3,0,2.7,0.8,0.2,0.5,118,66,84.4,89.6666666666667,90.8,90,0,84,10,,1992-11-06
1005452,Nicola Barr,67.3,3,0,0,68.9,1.22097242380261,2025,8.7,10,4,2.3,0,1,0.3,0,0,116,14,67.3333333333333,,67.3333333333333,67.3333333333333,0,71,10,,1996-06-03
1007025,Natalie Plane,33.6,7,0,0,66.4,0.632530120481928,2025,4,2.1,0.9,3.4,0,0.4,0.1,0.1,0.1,66,7,20,35.8333333333333,37.2,47.3333333333333,58,35.9,7,,1996-08-04
1009838,Jesse Wardlaw,65.4,11,7.33333333333333,0,93.4,0.875267665952891,2025,9.2,2.7,4.8,1.8,4.8,1.3,1.3,1.3,0.7,99,28,65,65.6666666666667,73.2,71.3333333333333,0,56.2,10,,2000-01-13
1009855,Darcy Guttridge,37.1,11,0,0,77.4,0.599160206718346,2025,5.1,2.4,2.3,2,0,0.4,0.5,0.5,0.3,63,4,38,36.3333333333333,38.2,31,70,35.7,7,,1999-10-30
1009866,Rene Caris,32.7,7,26.6666666666667,0,52.8,0.774147727272727,2025,3.1,2.6,1.3,1.4,9.6,1.1,1,0.1,0,54,14,30.5,35.6666666666667,33.4,35.6666666666667,0,37.6,5,,1999-03-18
1009867,Georgia Patrikios,0,0,0,0,0,,2025,0,0,0,0,0,0,0,0,0,,,,,,,0,66.6,10,,2001-03-30
1009873,Olivia Vesely,53.6,10,32.6666666666667,0,78.4,0.854591836734694,2025,7.6,4.8,2.1,4.5,0,0.8,1.5,0.1,0,93,34,64.4,42.8,42.8,42.6666666666667,0,68,10,,1999-12-06
1012987,Serene Watson,67.6,11,0,86.1538461538462,88.5,0.954802259887006,2025,12.7,3.9,3.8,2.7,0,0.3,0.4,0,0.1,96,37,63,71.5,72.8,75,0,31.9,9,,2001-11-03
1013017,Molly McDonald,58.5,11,0,0,83.1,0.879963898916968,2025,10.7,2.5,2.6,2.9,0,0.8,0.3,0.3,0.1,79,36,61.6,56,51.4,53.6666666666667,0,46.2,10,,2001-05-04
1014556,Hannah Priest,43.5,11,0,0,82.5,0.659090909090909,2025,5.4,3.2,2.9,3.4,0,0.5,0.5,0,0,97,16,46.2,41.3333333333333,45.4,46,0,62,10,,1992-05-16
1014835,Tyanna Smith,80.3,11,83.3333333333333,0,81.7,1.22858017135863,2025,10,5.7,1.4,8.2,0,1.8,1,0.5,0.5,127,56,76.8,83.1666666666667,74.4,69.3333333333333,0,74.4,10,,2002-10-29
1014841,Ashleigh Richards,55.5,11,4,0,82.7,0.838875453446191,2025,6.6,3.8,2.5,4.3,0,1.6,0.7,0.6,0.3,76,24,47.2,62.5,63.6,65,0,36,10,,2003-10-22
1014962,Ella Friend,21.1,8,0.666666666666667,0,63.2,0.417325949367089,2025,2.8,1.4,2,1,0,0.5,0.8,0.3,0.4,37,5,17,25.25,27.6,27,50.5,24,9,,2003-12-30
1015060,Nicola Xenos,52,5,12,0,76.3,0.851900393184797,2025,4.4,3.6,1.2,7.6,0,0.6,1.2,0,0.6,75,29,52,,52,52,0,52.2,9,,2001-03-08
1015094,Alice Burke,32.6,10,0,0,70.2,0.58048433048433,2025,4.3,2.5,1.5,2.5,0,0.5,0.1,0,0,46,16,27.8,37.4,37.4,35.6666666666667,0,26.8,9,,2002-10-03
1015147,Charlotte Baskaran,32.6,5,0,0,67.3,0.605497771173849,2025,2.6,4.6,0.2,3.2,0,0.8,0.8,0.6,0.2,46,14,34.6666666666667,29.5,32.6,27.6666666666667,79,54.5,10,,2004-12-09
1015163,Kiera Whiley,26,3,13.3333333333333,0,59.2,0.548986486486486,2025,2.3,2,0.3,4,0,0,0.7,0,0,37,16,,26,26,26,25.8,,,,2005-04-07
1016868,Hannah Stuart,30.5,6,0,0,69.2,0.550939306358382,2025,3.7,2.2,1.2,2.2,0,0.5,0.5,0.7,0,52,16,34,28.75,26.2,30,63.5,38,2,,1993-12-24
1019689,Amber Clarke,26.1,9,0,0,64.8,0.503472222222222,2025,4.2,1.6,1.8,0.9,0,0.1,1,0.7,0.3,62,-1,16.5,36.25,33.8,43,0,37.6,10,,2004-12-22
