Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,20,CD_I1023261,Nick Daicos,40,COL,MID,1170000,640000,97,177,146,CD_M20250142006,83,13,0,54,0,24,9,Collingwood,Richmond,away,MCG,W,58.947,97.6,99,100,53.33,98.1,99,100,9755.19364993656,88,4986.87221292529,39,Brisbane Lions,119.936112186518,128.336956046559
2025,20,CD_I992468,Rowan Marshall,130,STK,RUC,1041000,554800,112,94,88,CD_M20250142004,87,28,0,93,0,30,11,St Kilda,Melbourne,home,Marvel Stadium,W,8.92072,24.8,24,10,26.59,43.4,31,20,9755.19364993656,131,4986.87221292529,150,North Melbourne,106.712386996722,111.252098772861
2025,20,CD_I1004965,Tristan Xerri,100,NTH,RUC,949000,573500,,,,,,,,,,,,,,,,,24.8073,14.4,7,0,24.99,0,0,0,9755.19364993656,134,4986.87221292529,162,St Kilda,97.2815132179535,115.001944207346
2025,20,CD_I998659,Luke Ryan,60,FRE,DEF,839000,501800,103,65,49,CD_M20250142009,79,0,3,0,75,32,4,Fremantle,West Coast Eagles,home,Optus Stadium,W,5.96264,2.6,1,0,3.95,0.2,0,0,9755.19364993656,114,4986.87221292529,131,Carlton,86.0054684824689,100.624194600255
2025,20,CD_I294305,Lachie Whitfield,1010,GWS,DEF,936000,478900,108,110,109,CD_M20250142002,84,0,6,0,67,27,9,GWS Giants,Sydney Swans,home,ENGIE Stadium,W,27.7179,54.1,51,80,35.7,62.1,70,80,9755.19364993656,83,4986.87221292529,74,Western Bulldogs,95.9488897492144,96.0321378917144
2025,20,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1027000,549000,97,112,82,CD_M20250142009,75,21,0,66,0,32,4,Fremantle,West Coast Eagles,home,Optus Stadium,W,28.1965,71.5,78,90,23.49,87.9,93,100,9755.19364993656,124,4986.87221292529,117,Carlton,105.277254030388,110.089045108689
2025,20,CD_I1009528,Tom Green,1010,GWS,MID,959000,582300,109,93,72,CD_M20250142002,85,21,0,78,0,27,9,GWS Giants,Sydney Swans,home,ENGIE Stadium,W,8.13305,35.7,51,70,12.3,42.9,42,60,9755.19364993656,119,4986.87221292529,107,Western Bulldogs,98.3066081939067,116.766577352987
2025,20,CD_I1006094,Sam Walsh,30,CAR,MID,902000,489000,,,,,,,,,,,,,,,,,0.920473,0,0,0,1.82,0,0,0,9755.19364993656,93,4986.87221292529,103,Fremantle,92.4635668309737,98.0574554793241
2025,20,CD_I1013128,Errol Gulden,160,SYD,MID,1023000,545500,110,93,98,CD_M20250142002,86,5,0,19,0,27,12,Sydney Swans,GWS Giants,away,ENGIE Stadium,L,6.78248,8.1,6,0,8.98,27.1,18,10,9755.19364993656,124,4986.87221292529,139,Essendon,104.867216040007,109.387202380309
2025,20,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,,,0.0720237,0,0,0,0.32,0,0,0,9755.19364993656,108,4986.87221292529,112,Fremantle,107.839991470271,109.647886822279
2025,20,CD_I1009199,Noah Anderson,1000,GCS,MID,1007000,603300,110,128,107,CD_M20250142008,84,26,0,79,0,33,10,Gold Coast Suns,Brisbane Lions,home,People First Stadium,W,16.3003,33.5,43,30,8.8,18.8,17,20,9755.19364993656,110,4986.87221292529,149,Richmond,103.227064078482,120.977633723264
2025,20,CD_I290528,Max Gawn,90,MEL,RUC,1041000,585200,113,146,123,CD_M20250142004,89,28,0,93,0,30,6,Melbourne,St Kilda,away,Marvel Stadium,L,45.6359,87.9,85,70,33.85,50.3,56,80,9755.19364993656,108,4986.87221292529,78,West Coast Eagles,106.712386996722,117.348104185073
2025,20,CD_I1023518,Harry Sheezel,100,NTH,DEF/MID,1007000,513500,112,99,111,CD_M20250142003,85,8,2,25,11,32,18,North Melbourne,Geelong Cats,home,Marvel Stadium,L,55.9098,80.7,78,70,60.41,81.8,85,90,9755.19364993656,96,4986.87221292529,104,St Kilda,103.227064078482,102.970354577981
2025,20,CD_I261224,Dayne Zorko,20,BRL,DEF,976000,500200,98,65,55,CD_M20250142008,75,0,1,0,10,33,10,Brisbane Lions,Gold Coast Suns,away,People First Stadium,L,27.5621,34.2,34,30,22.03,18.1,13,10,9755.19364993656,137,4986.87221292529,138,Collingwood,100.049269653027,100.303352210139
2025,20,CD_I990704,Patrick Cripps,30,CAR,MID,816000,477300,101,75,62,CD_M20250142007,84,21,0,84,0,25,7,Carlton,Hawthorn,away,MCG,L,10.7239,2.7,3,0,6.04,0,0,0,9755.19364993656,84,4986.87221292529,99,Fremantle,83.6477500377767,95.711295501598
2025,20,CD_I296205,Jack Steele,130,STK,MID,1034000,516000,91,44,46,CD_M20250142004,71,16,0,53,0,30,11,St Kilda,Melbourne,home,Marvel Stadium,W,1.39552,1.5,0,0,5.48,16.8,14,30,9755.19364993656,129,4986.87221292529,161,North Melbourne,105.994820513555,103.471670812538
