Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,9,CD_I1023261,Nick Daicos,40,COL,MID,1066000,604700,108,76,67,CD_M20250140901,87,21,0,68,0,31,11,Collingwood,Optus Stadium,W,55.3852,68,82,70,50.25,81.8,77,80,9839.29110484604,142,5018.28400306678,196,Adelaide Crows,108.341138466264,120.499357874217,Fremantle,away
2025,9,CD_I992468,Rowan Marshall,130,STK,RUC,921000,501700,109,103,116,CD_M20250140902,89,21,0,88,0,24,11,St Kilda,MCG,L,4.17588,7.9,4,0,15.98,3,6,0,9839.29110484604,80,5018.28400306678,85,West Coast Eagles,93.6043044347361,99.974413503381,Carlton,home
2025,9,CD_I1004965,Tristan Xerri,100,NTH,RUC,1044000,681500,110,186,116,CD_M20250140909,89,23,0,96,0,24,11,North Melbourne,Ninja Stadium,D,53.6159,72.3,75,100,54.62,72.3,68,60,9839.29110484604,81,5018.28400306678,75,Richmond,106.105205026997,135.803394065286,Brisbane Lions,home
2025,9,CD_I998659,Luke Ryan,60,FRE,DEF,880000,482800,119,120,122,CD_M20250140901,96,0,5,0,71,31,7,Fremantle,Optus Stadium,L,4.64379,0.7,1,0,3.07,0.6,1,0,9839.29110484604,60,5018.28400306678,54,GWS GIANTS,89.4373375706491,96.2081858469849,Collingwood,home
2025,9,CD_I294305,Lachie Whitfield,1010,GWS,DEF,1146000,591600,110,116,103,CD_M20250140908,86,0,12,0,71,34,17,GWS GIANTS,GMHBA Stadium,W,23.3867,33.6,31,50,30.09,19.7,25,40,9839.29110484604,127,5018.28400306678,127,Fremantle,116.471805518141,117.888903784334,Geelong Cats,away
2025,9,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1074000,659000,106,154,119,CD_M20250140901,86,28,0,90,0,31,7,Fremantle,Optus Stadium,L,18.8194,77.5,92,100,16.96,75,84,80,9839.29110484604,113,5018.28400306678,153,GWS GIANTS,109.154205171451,131.319789712434,Collingwood,home
2025,9,CD_I1009528,Tom Green,1010,GWS,MID,1038000,544300,111,125,133,CD_M20250140908,87,28,0,82,0,34,17,GWS GIANTS,GMHBA Stadium,W,2.86234,2.7,2,0,5.62,17.7,22,30,9839.29110484604,93,5018.28400306678,99,Fremantle,105.495404998107,108.463371078115,Geelong Cats,away
2025,9,CD_I1006094,Sam Walsh,30,CAR,MID,977000,537300,100,99,84,CD_M20250140902,81,14,0,58,0,24,8,Carlton,MCG,W,2.42186,1,0,0,3.86,1.8,1,0,9839.29110484604,129,5018.28400306678,141,Sydney Swans,99.2957713710501,107.068471946116,St Kilda,away
2025,9,CD_I1013128,Errol Gulden,160,SYD,MID,1113000,581900,,,,,,,,,,,,,,,0.437845,0,0,0,1.08,0,0,0,9839.29110484604,113,5018.28400306678,118,,113.117905359241,115.955972129993,,
2025,9,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,0.0733258,0,0,0,0.3,0,0,0,9839.29110484604,107,5018.28400306678,111,,106.918271732185,108.961549339543,,
2025,9,CD_I1009199,Noah Anderson,1000,GCS,MID,952000,526800,110,96,82,CD_M20250140905,87,25,0,78,0,32,11,Gold Coast SUNS,TIO Stadium,W,8.25363,5.6,4,0,4,1.6,0,0,9839.29110484604,123,5018.28400306678,114,Hawthorn,96.7549379173385,104.976123248119,Western Bulldogs,home
2025,9,CD_I290528,Max Gawn,90,MEL,RUC,1183000,735000,103,142,113,CD_M20250140903,86,19,0,79,0,24,13,Melbourne,MCG,L,26.4632,63,89,90,28.31,72.8,86,90,9839.29110484604,95,5018.28400306678,99,Brisbane Lions,120.232239029634,146.464408859847,Hawthorn,home
2025,9,CD_I1023518,Harry Sheezel,100,NTH,DEF/MID,1058000,576600,111,101,103,CD_M20250140909,90,0,5,0,45,24,11,North Melbourne,Ninja Stadium,D,61.1252,83.9,91,100,59.87,81.6,83,100,9839.29110484604,104,5018.28400306678,124,Richmond,107.528071761076,114.899834215765,Brisbane Lions,home
2025,9,CD_I261224,Dayne Zorko,20,BRL,DEF,1039000,531900,106,166,137,CD_M20250140909,86,0,7,0,64,24,11,Brisbane Lions,Ninja Stadium,D,22.5084,45.9,56,70,17.9,26.5,29,40,9839.29110484604,82,5018.28400306678,57,Melbourne,105.597038336255,105.992406901432,North Melbourne,away
2025,9,CD_I990704,Patrick Cripps,30,CAR,MID,932000,513400,106,102,108,CD_M20250140902,86,21,0,88,0,24,8,Carlton,MCG,W,11.7933,1.6,1,0,6.37,0.1,1,0,9839.29110484604,72,5018.28400306678,84,Sydney Swans,94.7222711543692,102.305887766864,St Kilda,away
2025,9,CD_I296205,Jack Steele,130,STK,MID,945000,497900,99,111,109,CD_M20250140902,80,22,0,92,0,24,11,St Kilda,MCG,L,0.697914,0.1,1,0,1.64,1.4,2,0,9839.29110484604,84,5018.28400306678,70,West Coast Eagles,96.0435045502993,99.2171825460103,Carlton,home
2025,9,CD_I992016,Zach Merrett,50,ESS,MID,1072000,589400,104,76,80,CD_M20250140904,86,11,0,48,0,23,15,Essendon,Marvel Stadium,W,15.4385,14.9,19,30,17.78,11.4,12,10,9839.29110484604,134,5018.28400306678,104,Western Bulldogs,108.950938495154,117.450506914277,Sydney Swans,home
2025,9,CD_I291790,Adam Treloar,140,WBD,MID,1112000,628200,,,,,,,,,,,,,,,0.169335,0,0,0,0.85,0,0,0,9839.29110484604,131,5018.28400306678,161,,113.016272021093,125.18223353164,,
2025,9,CD_I1012013,Nic Martin,50,ESS,DEF/FWD,991000,516900,121,145,141,CD_M20250140904,100,0,1,0,7,23,15,Essendon,Marvel Stadium,W,5.57856,1.7,3,0,8.7,0,0,0,9839.29110484604,88,5018.28400306678,66,Western Bulldogs,100.718638105129,103.003337332864,Sydney Swans,home
2025,9,CD_I993834,Josh Dunkley,20,BRL,MID,1073000,539000,104,139,111,CD_M20250140909,84,20,0,83,0,24,11,Brisbane Lions,Ninja Stadium,D,12.4147,19.5,24,10,12.94,25.6,25,70,9839.29110484604,110,5018.28400306678,74,Melbourne,109.052571833303,107.407233163887,North Melbourne,away
2025,9,CD_I1015507,Nasiah Wanganeen-Milera,130,STK,DEF,1037000,553700,93,103,108,CD_M20250140902,76,1,5,4,45,24,11,St Kilda,MCG,L,16.9789,23.1,23,20,19.49,49.7,52,40,9839.29110484604,98,5018.28400306678,131,West Coast Eagles,105.393771659958,110.336521341084,Carlton,home
2025,9,CD_I297401,Matt Crouch,10,ADE,MID,870000,460600,,,,,,,,,,,,,,,0.17039,0,0,0,0.25,0,0,0,9839.29110484604,128,5018.28400306678,100,,88.4210041891644,91.7843628855038,,
2025,9,CD_I1020895,Jai Newcombe,80,HAW,MID,984000,544400,97,57,67,CD_M20250140903,81,20,0,83,0,24,13,Hawthorn,MCG,W,5.13861,2.8,3,0,8.72,3.6,3,0,9839.29110484604,125,5018.28400306678,145,Gold Coast SUNS,100.007204738089,108.483298208572,Melbourne,away
2025,9,CD_I992242,Jordan Dawson,10,ADE,MID,1069000,522200,105,78,78,CD_M20250140906,83,24,0,86,0,28,12,Adelaide Crows,Adelaide Oval,W,15.5398,27.5,16,20,36.87,74,76,70,9839.29110484604,126,5018.28400306678,78,Collingwood,108.646038480709,104.059475247091,Port Adelaide,away
2025,9,CD_I1009208,Matt Rowell,1000,GCS,MID,830000,476200,99,80,56,CD_M20250140905,79,21,0,66,0,32,11,Gold Coast SUNS,TIO Stadium,W,13.7156,5.4,1,0,3.4,0.2,1,0,9839.29110484604,128,5018.28400306678,152,Hawthorn,84.3556706632258,94.8929952368149,Western Bulldogs,home
