Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,21,CD_I1023261,Nick Daicos,40,COL,MID,1175000,671200,116,110,92,CD_M20250142106,92,20,0,71,0,28,8,Collingwood,Brisbane Lions,home,MCG,L,59.3007,97.4,99,100,53.83,98.3,100,100,9734.23723848749,121,4956.34339813244,119,Hawthorn,120.707968299175,135.422416504254
2025,21,CD_I992468,Rowan Marshall,130,STK,RUC,1051000,552200,104,144,142,CD_M20250142103,85,20,0,87,0,23,9,St Kilda,North Melbourne,home,Marvel Stadium,W,9.19514,26.2,18,20,26.74,48,36,20,9734.23723848749,102,4956.34339813244,96,Richmond,107.969425261645,111.412780681837
2025,21,CD_I1004965,Tristan Xerri,100,NTH,RUC,949000,573500,,,,,,,,,,,,,,,,,23.6809,9.4,3,0,24.35,0,0,0,9734.23723848749,134,4956.34339813244,164,GWS Giants,97.4909463114191,115.710303732404
2025,21,CD_I998659,Luke Ryan,60,FRE,DEF,789000,469700,122,58,51,CD_M20250142108,93,0,3,0,43,28,7,Fremantle,Carlton,home,Optus Stadium,W,5.97121,2.3,1,0,3.78,0.2,0,0,9734.23723848749,120,4956.34339813244,161,Port Adelaide,81.0541165855739,94.7674449225985
2025,21,CD_I294305,Lachie Whitfield,1010,GWS,DEF,967000,501600,99,126,118,CD_M20250142105,81,0,8,0,44,28,18,GWS Giants,Western Bulldogs,away,Marvel Stadium,L,28.7121,56.7,52,90,39.88,85.4,92,100,9734.23723848749,71,4956.34339813244,68,North Melbourne,99.3400896555767,101.203641416171
2025,21,CD_I1002232,Andrew Brayshaw,60,FRE,MID,1001000,541700,112,101,90,CD_M20250142108,85,24,0,86,0,28,7,Fremantle,Carlton,home,Optus Stadium,W,28.8038,72.1,76,90,23.54,88.3,95,100,9734.23723848749,124,4956.34339813244,115,Port Adelaide,102.832915972319,109.294283403389
2025,21,CD_I1009528,Tom Green,1010,GWS,MID,918000,569700,104,79,67,CD_M20250142105,84,22,0,79,0,28,18,GWS Giants,Western Bulldogs,away,Marvel Stadium,L,8.17912,32.2,49,70,12.25,38.1,37,40,9734.23723848749,126,4956.34339813244,173,North Melbourne,94.3063105520366,114.943609479251
2025,21,CD_I1006094,Sam Walsh,30,CAR,MID,902000,489000,,,,,,,,,,,,,,,,,0.902334,0,0,0,1.8,0,0,0,9734.23723848749,94,4956.34339813244,105,Gold Coast Suns,92.662627579452,98.6614446820325
2025,21,CD_I1013128,Errol Gulden,160,SYD,MID,1017000,534800,106,115,114,CD_M20250142109,86,3,1,15,8,20,12,Sydney Swans,Essendon,home,SCG,W,6.95817,9.3,7,0,9.5,33.4,30,10,9734.23723848749,111,4956.34339813244,116,Brisbane Lions,104.476598944903,107.902128048979
2025,21,CD_I297907,Nic Newman,30,CAR,DEF,1052000,546800,,,,,,,,,,,,,,,,,0.0718808,0,0,0,0.32,0,0,0,9734.23723848749,108,4956.34339813244,113,Gold Coast Suns,108.072155447432,110.323267795778
