player_id,season_cba,season_ki,season_tog
CD_I1000072,0,0.2,86
CD_I1000223,0.662790697674419,0.0263157894736842,81.6666666666667
CD_I1000860,0,0,82.5
CD_I1000864,0,0.40625,82.6666666666667
CD_I1000937,0,0,75
CD_I1000963,0,0,78
CD_I1000972,0.506172839506173,0,74.3333333333333
CD_I1000978,0.686046511627907,0,82.6666666666667
CD_I1000980,0.91304347826087,0,80
CD_I1000981,0,0.05,79
CD_I1000998,0,0,64
CD_I1001017,0.0106382978723404,0,89.3333333333333
CD_I1001026,0,0.173913043478261,91
CD_I1001028,0,0.0294117647058824,87.6666666666667
CD_I1001195,0.537735849056604,0,73.6666666666667
CD_I1001299,0.703703703703704,0,82.6666666666667
CD_I1001396,0,0,78.3333333333333
CD_I1001398,0.7125,0,79.6666666666667
CD_I1001438,0,0,80
CD_I1002138,0,0,92.5
CD_I1002143,0,0,100
CD_I1002220,0,0,88.5
CD_I1002227,0,0,85.3333333333333
CD_I1002228,0.0298507462686567,0,71.6666666666667
CD_I1002232,0.7125,0,82.6666666666667
CD_I1002235,0.162790697674419,0,76.6666666666667
CD_I1002239,0.567164179104478,0,75.3333333333333
CD_I1002251,0.153846153846154,0,70.5
CD_I1002253,0,0.418604651162791,81
CD_I1002264,0.112359550561798,0,30
CD_I1002267,0.74468085106383,0,84.3333333333333
CD_I1002282,0,0,46
CD_I1002312,0.0116279069767442,0,83.6666666666667
CD_I1002347,0,0,93.3333333333333
CD_I1002403,0,0.256410256410256,93.3333333333333
CD_I1002404,0.025,0,82
CD_I1002795,0,0.0882352941176471,55
CD_I1002947,0,0,80.6666666666667
CD_I1003130,0,0,85.5
CD_I1003203,0,0,77
CD_I1004095,0,0,3
CD_I1004364,0.0232558139534884,0,85
CD_I1004385,0,0,91.3333333333333
CD_I1004530,0,0,52
CD_I1004592,0.75,0,80
CD_I1004757,0.0952380952380952,0,72.5
CD_I1004848,0,0,44.6666666666667
CD_I1004863,0,0.25,81
CD_I1004870,0,0.333333333333333,84
CD_I1004912,0.865671641791045,0,78.3333333333333
CD_I1004938,0,0,86.6666666666667
CD_I1004965,0.797872340425532,0,80
CD_I1005000,0,0,64.3333333333333
CD_I1005053,0,0,80
CD_I1005054,0,0.15,86
