player_id,price
CD_I1023261,1074000
CD_I992468,1201000
CD_I1004965,1175000
CD_I998659,1048000
CD_I294305,1146000
CD_I1002232,1073000
CD_I1009528,1025000
CD_I1006094,1089000
CD_I1013128,1113000
CD_I297907,1052000
CD_I1009199,1067000
CD_I290528,1147000
CD_I1023518,1151000
CD_I261224,1131000
CD_I990704,1026000
CD_I296205,1094000
CD_I992016,1116000
CD_I291790,1129000
CD_I1026850,1100000
CD_I993834,1102000
CD_I1015507,1003000
CD_I297401,1046000
CD_I1020895,880000
CD_I992242,1080000
CD_I1009208,962000
CD_I1009420,1067000
CD_I293535,1038000
CD_I1024272,845000
CD_I998172,980000
CD_I297523,934000
CD_I293957,997000
CD_I1006121,1089000
CD_I297373,1101000
CD_I291856,829000
CD_I1005054,973000
CD_I994389,1046000
CD_I1002267,984000
CD_I298174,1032000
CD_I1004592,1074000
CD_I1009260,1106000
CD_I1005521,879000
CD_I293222,1019000
CD_I291975,988000
CD_I294036,852000
CD_I1000980,907000
CD_I1000978,999000
CD_I298539,1079000
CD_I992049,825000
CD_I298272,955000
CD_I993817,940000
CD_I1006126,869000
CD_I1001026,880000
CD_I992330,838000
CD_I1006103,969000
CD_I294318,930000
CD_I1012014,961000
CD_I291800,899000
CD_I291902,897000
CD_I1006152,994000
CD_I994295,964000
CD_I298210,923000
CD_I1001299,996000
CD_I996708,950000
CD_I1023517,843000
CD_I996701,797000
CD_I1009256,953000
CD_I296347,977000
CD_I1006136,875000
CD_I292128,933000
CD_I997078,860000
CD_I295898,881000
CD_I1015889,969000
CD_I298268,910000
CD_I999827,846000
CD_I1005144,798000
CD_I1008436,938000
CD_I290799,898000
CD_I998215,833000
CD_I295518,782000
CD_I294674,836000
CD_I998129,481000
CD_I297354,892000
CD_I993903,846000
CD_I295342,779000
CD_I1006314,944000
CD_I297566,896000
CD_I990291,987000
CD_I998145,798000
CD_I1012210,780000
CD_I1002222,796000
CD_I1000972,876000
CD_I296294,909000
CD_I998133,865000
CD_I1006058,821000
CD_I298264,814000
CD_I998102,864000
CD_I1000981,857000
CD_I1023266,789000
CD_I1008550,760000
CD_I1011640,919000
CD_I293871,852000
CD_I1008280,882000
CD_I296324,788000
CD_I296359,824000
CD_I291969,789000
CD_I290627,743000
CD_I993998,781000
CD_I280965,749000
CD_I293845,862000
CD_I1015810,851000
CD_I1023477,803000
CD_I291783,769000
CD_I1006028,841000
CD_I1021013,749000
CD_I1006130,598000
CD_I998260,805000
CD_I996731,758000
CD_I1017109,789000
CD_I1001398,791000
CD_I296420,811000
CD_I1006096,839000
CD_I1009378,841000
CD_I1009380,749000
CD_I1002239,745000
CD_I1004870,770000
CD_I260257,812000
CD_I1013464,706000
CD_I1009253,794000
CD_I994185,819000
CD_I290550,731000
CD_I993107,825000
CD_I295265,690000
CD_I1006114,656000
CD_I1001024,512000
CD_I1011659,807000
CD_I993902,622000
CD_I1013462,785000
CD_I1002264,754000
CD_I270917,816000
CD_I1004863,849000
CD_I993905,759000
CD_I281085,778000
CD_I1004938,874000
CD_I1012807,604000
CD_I280317,673000
CD_I1000963,580000
CD_I1007124,758000
CD_I295340,847000
CD_I1000953,840000
CD_I1008752,546000
CD_I298211,542000
CD_I1020339,448000
CD_I1002253,804000
CD_I992128,673000
CD_I992351,773000
CD_I294101,834000
CD_I1004912,900000
CD_I998103,785000
CD_I993878,748000
CD_I281065,795000
CD_I295136,514000
CD_I294859,825000
