player_id,oppo_avg
CD_I291776,38
CD_I1008091,54
CD_I1006028,69
CD_I1013133,33.2
CD_I998103,64.3
CD_I293957,75
CD_I1027687,
CD_I997100,55.1
CD_I298539,95.7777777777778
CD_I1013409,73.8333333333333
CD_I295342,92.6363636363636
CD_I1008198,38.4444444444444
CD_I1011936,75.2
CD_I996743,43.6666666666667
CD_I996765,62.1111111111111
CD_I1004985,64.25
CD_I290307,63.2222222222222
CD_I1012210,79.5
CD_I1006126,83.2857142857143
CD_I1020339,
CD_I1012014,93.6666666666667
CD_I1018424,
CD_I1006232,53
CD_I297354,86.6666666666667
CD_I990290,50.8
CD_I998134,51
CD_I994077,53.6
CD_I1005144,74.3333333333333
CD_I1008550,79
CD_I293738,39.375
CD_I1012857,48
CD_I993794,74.2222222222222
CD_I296254,63.6666666666667
CD_I1017094,59.25
CD_I1023482,55.5
CD_I1009421,63
CD_I1000980,73.6666666666667
CD_I1006314,66.2
CD_I1000963,56
CD_I1007124,59.8
CD_I1020895,72
CD_I998114,67.6666666666667
CD_I297566,75.5
CD_I1023473,50.5
CD_I1027935,56.3333333333333
CD_I1002222,80.1428571428571
CD_I1009253,77
CD_I1008139,47.25
CD_I1008436,82.6666666666667
CD_I1014038,37
CD_I1009708,48.8
CD_I1019038,50.5
CD_I1023266,66.75
CD_I291969,95
CD_I1002251,72.8333333333333
CD_I295344,75.4
CD_I1027921,
CD_I993107,53.7777777777778
CD_I1008083,56.3333333333333
CD_I1020650,
CD_I290314,37.5
CD_I296347,95.7777777777778
CD_I1032119,
CD_I1006135,32
CD_I1015862,
CD_I1005247,44.3333333333333
CD_I280109,81.375
CD_I1004530,60
CD_I294305,95.875
CD_I1022915,
CD_I990291,90.4
CD_I293871,83.1818181818182
CD_I1005054,78.25
CD_I1023261,88.4
CD_I293801,62
CD_I1006148,48.5
CD_I291720,56.5454545454546
CD_I291313,61
CD_I1003130,60.6
CD_I1017124,64
CD_I992010,69.2727272727273
CD_I1004757,49
CD_I1013278,
CD_I297504,57.5714285714286
CD_I294596,64.3
CD_I291849,53.25
CD_I298288,51
CD_I260257,92
CD_I998205,75.2857142857143
CD_I1008089,61.5714285714286
CD_I1000860,70.75
CD_I280965,78.2727272727273
CD_I1028525,
CD_I1013197,31
CD_I1021152,
CD_I1013229,42
CD_I295203,57.75
CD_I1017086,62
CD_I1023275,30
CD_I1009226,33.5
CD_I1023056,
CD_I993903,73.2857142857143
CD_I1028491,
CD_I293813,77.1428571428571
CD_I1008478,51.5
CD_I294592,66.3333333333333
CD_I1002403,57.3333333333333
CD_I298174,82.8181818181818
CD_I1006133,42
CD_I992049,79.7777777777778
CD_I1017114,57.3333333333333
CD_I998172,99.375
CD_I1028521,
CD_I1031829,
CD_I294674,86.25
CD_I296294,86.0909090909091
CD_I1022452,
CD_I1002239,70.5
CD_I1008154,52.25
CD_I1021353,56
CD_I990704,97
CD_I1004912,62.75
