Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,Opposition,home_status,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at
2025,19,CD_I1000978,Hugh McCluggage,20,BRL,MID,968000,574800,110,113,91,CD_M20250141908,86,21,0,78,0,27,4,Brisbane Lions,Western Bulldogs,home,Gabba,W,11.65,5.4,8,10,3.58,1.1,1,0,9816.75480328484,121,5004.09030503944,144,Gold Coast Suns,98.6069245282659,114.866032577618
2025,19,CD_I298539,Isaac Heeney,160,SYD,MID,1024000,588900,104,197,166,CD_M20250141907,81,16,0,70,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,8.66712,18.8,24,30,10.71,10.1,11,20,9816.75480328484,72,5004.09030503944,78,GWS Giants,104.311457352215,117.683727531244
2025,19,CD_I992049,Jayden Short,120,RIC,DEF,858000,437600,100,78,57,CD_M20250141906,81,0,3,0,38,28,8,Richmond,West Coast Eagles,away,Optus Stadium,W,4.24758,0.2,0,0,8.5,0.1,0,0,9816.75480328484,101,5004.09030503944,65,Collingwood,87.4015921955084,87.4484618231827
2025,19,CD_I298272,Touk Miller,1000,GCS,MID,866000,544300,,,,,,,,,,,,,,,,,1.96743,0.9,0,0,0.9,0,0,0,9816.75480328484,121,5004.09030503944,162,Brisbane Lions,88.2165254560726,108.771018670837
2025,19,CD_I993817,Darcy Parish,50,ESS,MID,895000,473200,,,,,,,,,,,,,,,,,0.158664,0,0,0,0.13,0,0,0,9816.75480328484,100,5004.09030503944,97,Western Bulldogs,91.1706585256177,94.5626419897853
2025,19,CD_I1006126,James Rowbottom,160,SYD,MID,781000,405500,103,71,74,CD_M20250141907,81,19,0,83,0,23,10,Sydney Swans,North Melbourne,home,SCG,W,0.470361,0,0,0,2.01,0,0,0,9816.75480328484,73,5004.09030503944,50,GWS Giants,79.5578595625782,81.0337094819484
2025,19,CD_I1001026,Jordan Ridley,50,ESS,DEF,683000,435400,101,121,91,CD_M20250141903,83,0,1,0,14,27,7,Essendon,GWS Giants,home,Marvel Stadium,L,0.292248,0.1,0,0,0.41,0.1,0,0,9816.75480328484,52,5004.09030503944,44,Western Bulldogs,69.574927120667,87.0088214758084
2025,19,CD_I992330,Jordon Sweet,110,PTA,RUC,727000,408600,102,200,132,CD_M20250141909,81,18,0,78,0,23,9,Port Adelaide,Hawthorn,away,UTAS Stadium,L,1.06919,0.3,0,0,1.63,0.3,0,0,9816.75480328484,26,5004.09030503944,-50,Adelaide,74.0570600537699,81.6532026987031
2025,19,CD_I1006103,Jye Caldwell,50,ESS,MID,1039000,531200,,,,,,,,,,,,,,,,,1.48325,0.3,0,0,1,0,0,0,9816.75480328484,118,5004.09030503944,97,Western Bulldogs,105.839457215773,106.153160238745
2025,19,CD_I294318,Ollie Wines,110,PTA,MID,907000,495900,94,70,86,CD_M20250141909,74,9,0,39,0,23,9,Port Adelaide,Hawthorn,away,UTAS Stadium,L,0.384375,0,0,0,0.45,0,0,0,9816.75480328484,100,5004.09030503944,84,Adelaide,92.393058416464,99.0989310286022
