Season,Round,player_id,Player,squad_id,Team,Position,af_cost,sc_cost,minutes_played,SC,AF,matchId,TOG,CBA,KI,CBA_PERC,KI_PERC,TeamCBA,TeamKI,team.name,venue.name,result,sc_OwnershipTotal,sc_OwnershipTop1000,sc_OwnershipTop100,sc_OwnershipTop10,af_OwnershipTotal,af_OwnershipTop1000,af_OwnershipTop100,af_OwnershipTop10,af_magic_number,af_be,sc_magic_number,sc_be,next_opp,af_priced_at,sc_priced_at,Opposition,home_status
2025,6,CD_I1019938,Logan Evans,110,PTA,DEF,599000,330100,,,,,,,,,,,,,,,0.326887,0,0,0,0.58,0,0,0,9868.64902109433,94,5049.58785903834,136,,60.6972645110422,65.3716717512199,,
2025,6,CD_I1002256,Paddy Dow,130,STK,MID,649000,327100,,,,,,,,,,,,,,,0.0870982,0,0,0,0.06,0,0,0,9868.64902109433,66,5049.58785903834,66,,65.7638141363379,64.7775638589035,,
2025,6,CD_I1021031,Luke Nankervis,10,ADE,DEF,566000,349800,99,53,51,CD_M20250140605,85,0,0,0,0,15,10,Adelaide Crows,Adelaide Oval,W,0.148927,0,0,0,0.24,0,0,0,9868.64902109433,71,5049.58785903834,82,Fremantle,57.353341758347,69.272980244098,GWS GIANTS,home
2025,6,CD_I1017665,Bodhi Uwland,1000,GCS,DEF,538000,339300,112,68,55,CD_M20250140606,91,0,2,0,25,23,8,Gold Coast SUNS,Marvel Stadium,L,0.202154,0,0,0,0.25,0,0,0,9868.64902109433,66,5049.58785903834,93,Sydney Swans,54.5160739681815,67.1936026209904,Richmond,away
2025,6,CD_I291313,Jeremy Howe,40,COL,DEF,546000,362900,118,93,60,CD_M20250140601,96,0,5,0,45,26,11,Collingwood,Gabba,W,0.375813,0,0,0,1.44,0,0,0,9868.64902109433,64,5049.58785903834,88,Essendon,55.3267219082288,71.8672513738798,Brisbane Lions,away
2025,6,CD_I1027704,Joel Freijah,140,WBD,DEF/MID,673000,363500,98,124,96,CD_M20250140608,79,6,0,24,0,25,8,Western Bulldogs,Marvel Stadium,W,6.81839,0.5,0,0,8.2,2.7,1,0,9868.64902109433,61,5049.58785903834,42,GWS GIANTS,68.1957579564798,71.9860729523431,St Kilda,home
2025,6,CD_I1028291,Coen Livingstone,150,WCE,RUC/FWD,230000,119900,,,,,,,,,,,,,,,0.447319,0.7,4,10,5.98,1.7,1,0,9868.64902109433,23,5049.58785903834,24,,23.3061282763601,23.7445120962474,,
2025,6,CD_I1020057,Harry Barnett,150,WCE,RUC,230000,119900,,,,,,,,,,,,,,,0.465599,0,0,0,4.49,0.3,1,0,9868.64902109433,23,5049.58785903834,24,,23.3061282763601,23.7445120962474,,
2025,6,CD_I296733,Mark Blicavs,70,GEE,MID/DEF,672000,403200,109,105,69,CD_M20250140609,86,0,0,0,0,27,13,Geelong Cats,MCG,W,0.614526,0,0,0,0.41,0,0,0,9868.64902109433,82,5049.58785903834,90,Carlton,68.0944269639739,79.8481007273308,Hawthorn,home
2025,6,CD_I1013268,Alex Davies,1000,GCS,MID,618000,333200,,,,,,,,,,,,,,,0.120432,0,0,0,0.08,0,0,0,9868.64902109433,63,5049.58785903834,67,,62.6225533686545,65.9855832399469,,
